      Papagoite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R040182
      Groat L A, Hawthorne F C
      Mineralogy and Petrology 37 (1987) 89-96
      Refinement of the structure of papagoite, CaCuAlSi2O6(OH)3
      Locality: Ajo, Pima County, Arizona, USA
      Note: U(1,1)(O3) changed from .0068 to match reported Uiso

      CELL PARAMETERS:  12.9202 11.4900  4.6956   90.000  100.742   90.000
      SPACE GROUP: C2/m      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Ca     0.00000   0.15530   0.50000     1.000     0.869
            Cu     0.26873   0.50000   0.44610     1.000     0.608
            Al     0.25000   0.25000   0.50000     1.000     0.403
            Si     0.38740   0.13238   0.06780     1.000     0.387
            O      0.20050   0.36970   0.22590     1.000     0.679
            O      0.16310   0.12680   0.30730     1.000     0.584
            O      0.42340   0.50000   0.23170     1.000     0.632
            O      0.00000   0.31980   0.00000     1.000     0.869
            O      0.36150   0.22090   0.30580     1.000     0.703
            O      0.40130   0.00000   0.19310     1.000     0.869

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/- 11 +/- 10 +/-  4
            MAX. ABS. INTENSITY / VOLUME**2:      9.711169393    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                10.38          1.17        8.5185    1   1   0
                13.95         54.12        6.3469    2   0   0
                19.24         39.92        4.6133    0   0   1
                20.72         85.53        4.2874   -1   1   1
                20.86         22.11        4.2593    2   2   0
                21.60          7.92        4.1142   -2   0   1
                22.39          4.67        3.9706    3   1   0
                23.04         40.75        3.8595    1   1   1
                24.27          6.33        3.6667    1   3   0
                24.75          2.59        3.5971    0   2   1
                25.91         52.56        3.4392    2   0   1
                26.65          8.54        3.3449   -2   2   1
                26.94         34.60        3.3092   -3   1   1
                28.12          2.75        3.1734    4   0   0
                30.29          9.70        2.9509    2   2   1
                30.31          6.99        2.9489   -1   3   1
                31.09        100.00        2.8769   -4   0   1
                31.51         24.62        2.8395    3   3   0
                31.99         58.79        2.7980    1   3   1
                32.21          3.47        2.7787    3   1   1
                32.23          2.13        2.7778    4   2   0
                34.27         22.58        2.6170    2   4   0
                34.88         10.34        2.5724   -4   2   1
                34.97          3.06        2.5657   -3   3   1
                36.24         19.22        2.4790    5   1   0
                36.86         32.25        2.4384    0   4   1
                37.26          8.12        2.4130    4   0   1
                37.95         22.90        2.3710   -5   1   1
                38.21          2.91        2.3552   -2   4   1
                39.05          5.24        2.3067    0   0   2
                39.16          4.30        2.3002   -1   1   2
                39.28         11.32        2.2935    3   3   1
                40.93         67.92        2.2047    2   4   1
                41.83          3.63        2.1594    1   1   2
                42.15         13.01        2.1437   -2   2   2
                42.45         10.59        2.1296    4   4   0
                43.62          3.65        2.0752   -6   0   1
                44.02          6.94        2.0571   -4   0   2
                44.21          1.63        2.0488    2   0   2
                44.57          2.20        2.0327   -4   4   1
                45.31          2.98        2.0016   -1   3   2
                45.70         11.04        1.9853    6   2   0
                47.09          3.31        1.9298    2   2   2
                47.48         10.39        1.9150    0   6   0
                47.58         15.91        1.9112   -3   3   2
                47.70          3.85        1.9067    1   3   2
                48.79         15.81        1.8666   -5   1   2
                49.32          4.83        1.8476    4   4   1
                50.71          8.27        1.8004   -2   4   2
                50.71          1.21        1.8001    6   0   1
                50.95          1.07        1.7923    3   5   1
                51.68          1.15        1.7687    0   6   1
                53.27         12.03        1.7196    4   0   2
                53.33          3.51        1.7178    6   2   1
                53.82         15.07        1.7035    6   4   0
                54.55          5.93        1.6821   -6   4   1
                54.90          4.49        1.6725   -4   4   2
                55.06         36.77        1.6680    2   4   2
