      Cerussite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R050023
      Chevrier G, Giester G, Heger G, Jarosch D, Wildner M, Zemann J
      Zeitschrift fur Kristallographie 199 (1992) 67-74
      Neutron single-crystal refinement of cerussite, PbCO3, and comparison with other
      aragonite-type carbonates
      Locality: Pribram, Czech Republic

      CELL PARAMETERS:   5.1819  8.4969  6.1439   90.000   90.000   90.000
      SPACE GROUP: Pmcn      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Pb     0.25000   0.41702   0.24560     1.000     0.858
            C      0.25000   0.76221   0.08718     1.000     0.769
            O      0.25000   0.91299   0.09649     1.000     1.329
            O      0.46445   0.68597   0.08893     1.000     1.334

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  4 +/-  7 +/-  5
            MAX. ABS. INTENSITY / VOLUME**2:      261.9191923    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                20.07         14.75        4.4241    1   1   0
                20.91          6.99        4.2484    0   2   0
                24.80        100.00        3.5902    1   1   1
                25.49         48.53        3.4944    0   2   1
                29.07         18.32        3.0719    0   0   2
                30.95          1.66        2.8889    0   1   2
                33.92          1.43        2.6425    1   0   2
                34.62         14.88        2.5910    2   0   0
                35.58         17.10        2.5233    1   1   2
                36.08          8.58        2.4894    0   2   2
                36.14         26.19        2.4853    1   3   0
                40.79          6.57        2.2120    2   2   0
                42.56          2.08        2.1242    0   4   0
                43.48         28.97        2.0813    2   2   1
                45.16         13.41        2.0076    0   4   1
                45.81         13.84        1.9806    2   0   2
                47.03         25.02        1.9321    1   3   2
                49.01         18.39        1.8585    1   1   3
                49.40          8.60        1.8448    0   2   3
                50.87          4.44        1.7951    2   2   2
                52.37          2.19        1.7472    0   4   2
                54.19          1.99        1.6927    3   1   0
                55.98          1.71        1.6427    2   4   0
                56.38          9.50        1.6319    3   1   1
                57.03          1.44        1.6148    1   5   0
                58.13          8.93        1.5870    2   4   1
                59.16          8.22        1.5617    1   5   1
                60.25          2.08        1.5360    0   0   4
                61.73          5.60        1.5028    2   2   3
                62.67          2.47        1.4825    3   1   2
                63.04          4.48        1.4747    3   3   0
                63.05          2.54        1.4744    0   4   3
                64.19          2.85        1.4510    1   1   4
                64.31          2.29        1.4486    2   4   2
                64.51          1.39        1.4445    0   2   4
                65.28          2.45        1.4293    1   5   2
                65.96          2.15        1.4161    0   6   0
                70.88          6.89        1.3294    3   3   2
                71.39          3.24        1.3213    2   0   4
                72.32          6.42        1.3066    1   3   4
                72.44          5.51        1.3047    3   1   3
                73.04          2.04        1.2955    4   0   0
                73.66          2.98        1.2861    0   6   2
                73.97          5.10        1.2814    2   4   3
                74.89          4.70        1.2680    1   5   3
                75.33          1.20        1.2616    2   2   4
                76.69          3.49        1.2426    2   6   0
                78.79          3.67        1.2147    4   2   1
                80.46          2.02        1.1937    4   0   2
                80.88          3.43        1.1885    3   5   1
                81.25          3.27        1.1840    1   1   5
                81.55          1.55        1.1804    0   2   5
                83.25          2.99        1.1606    1   7   1
                84.01          3.60        1.1520    2   6   2
                84.26          1.13        1.1492    4   2   2
                86.33          1.11        1.1269    3   5   2
                87.69          1.05        1.1129    1   5   4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
