      Tellurite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R050285
      Beyer H
      Zeitschrift fur Kristallographie 124 (1967) 228-237
      Verfeinerung der kristallstruktur von tellurit, dem rhomischen TeO2
      Locality: Moctezuma, Mexico

      CELL PARAMETERS:  12.0200  5.4510  5.5880   90.000   90.000   90.000
      SPACE GROUP: Pbca      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Te     0.11820   0.02550   0.37810     1.000     1.065
            O      0.02700   0.63700   0.17800     1.000     0.700
            O      0.17400   0.22200   0.08600     1.000     0.700

            BOUNDS ON TWO THETA:    0.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/- 11 +/-  5 +/-  5
            MAX. ABS. INTENSITY / VOLUME**2:      106.1628125    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                14.74          5.05        6.0100    2   0   0
                22.01         11.41        4.0376    2   1   0
                23.98         97.67        3.7113    1   1   1
                27.25        100.00        3.2727    2   1   1
                29.73         38.04        3.0050    4   0   0
                32.02         20.90        2.7954    3   1   1
                32.86         21.48        2.7255    0   2   0
                32.91         20.21        2.7214    1   0   2
                34.07          1.72        2.6316    4   1   0
                36.69          6.51        2.4497    0   2   1
                36.92          1.98        2.4349    1   1   2
                37.47          1.08        2.4003    1   2   1
                39.31         22.90        2.2918    3   0   2
                39.73          1.05        2.2685    2   2   1
                43.29          1.48        2.0900    3   2   1
                44.25         19.17        2.0467    5   1   1
                44.90         21.99        2.0188    4   2   0
                47.20         24.49        1.9258    1   2   2
                50.05          5.32        1.8223    5   0   2
                51.26         17.84        1.7822    6   1   1
                52.14         18.04        1.7541    3   2   2
                52.47          9.93        1.7440    1   1   3
                52.62          1.99        1.7393    2   3   0
                53.58          6.05        1.7104    1   3   1
                54.23         16.37        1.6914    2   1   3
                55.32         10.17        1.6607    2   3   1
                57.06          1.50        1.6142    6   2   0
                57.09          2.70        1.6134    3   1   3
                58.14          5.11        1.5867    3   3   1
                58.75          2.53        1.5717    7   1   1
                61.18          6.15        1.5149    5   2   2
                61.35          3.38        1.5111    1   3   2
                61.74          3.53        1.5025    8   0   0
                63.60          9.24        1.4629    7   0   2
                65.56          1.56        1.4238    3   3   2
                65.69          3.79        1.4215    5   1   3
                66.50          1.07        1.4061    7   2   1
                66.66          3.97        1.4031    5   3   1
                66.71          1.13        1.4021    8   1   1
                66.99          4.03        1.3970    0   0   4
                68.90          1.91        1.3628    0   4   0
                69.89          1.61        1.3459    6   3   0
                71.26          5.40        1.3233    6   1   3
                71.72          1.30        1.3160    1   4   1
                71.73          5.09        1.3158    8   2   0
                72.20          3.05        1.3085    6   3   1
                73.19          1.26        1.2931    1   3   3
                73.46          5.56        1.2890    7   2   2
                74.66          3.57        1.2712    2   3   3
                74.97          4.54        1.2668    4   0   4
                75.19          4.18        1.2636    9   1   1
                75.65          1.05        1.2571    3   4   1
                76.65          3.46        1.2432    0   2   4
                76.80          3.44        1.2411    4   4   0
                77.09          1.63        1.2371    3   3   3
                78.49          1.98        1.2185    1   4   2
                79.03          1.39        1.2116    4   4   1
                82.32          3.23        1.1713    3   4   2
                84.30          5.50        1.1488    4   2   4
                84.30          2.02        1.1487   10   1   1
                84.74          1.92        1.1440    5   3   3
                89.93          2.45        1.0909    6   3   3
                89.99          1.41        1.0903    1   1   5
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
