      Minium
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from the powder pattern for R050426
      Gavarri J R, Weigel D
      Journal of Solid State Chemistry 13 (1975) 252-257
      Oxydes de plomb. I. structure cristalline du minium Pb3O4, a temperature
      ambiante (293 K)
      Locality: synthetic
      Sample: T = 293 K

      CELL PARAMETERS:   8.811978   8.811978   6.564547   90.00000   90.00000   90.00000
      SPACE GROUP: P4_2/mbc

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Pb     0.00000   0.50000   0.25000     1.000     1.500
            Pb     0.14000   0.16300   0.00000     1.000     1.500
            O      0.67100   0.17100   0.25000     1.000     1.000
            O      0.09600   0.63700   0.00000     1.000     1.000

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  8 +/-  8 +/-  6
            MAX. ABS. INTENSITY / VOLUME**2:      407.8898772
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                14.22         11.02        6.2310    1   1   0
                20.15          1.56        4.4060    2   0   0
                24.32          2.72        3.6584    2   0   1
                26.37        100.00        3.3788    2   1   1
                27.16          5.08        3.2823    0   0   2
                28.64         13.05        3.1155    2   2   0
                30.78         37.73        2.9040    1   1   2
                32.11         48.73        2.7866    3   1   0
                34.05         26.06        2.6322    2   0   2
                36.76          2.13        2.4440    3   2   0
                39.32          4.12        2.2904    3   2   1
                39.88          5.43        2.2597    2   2   2
                40.95          1.60        2.2030    4   0   0
                44.56          9.78        2.0322    4   1   1
                46.04         10.73        1.9704    4   2   0
                46.29          1.84        1.9603    3   2   2
                47.50         18.43        1.9131    2   1   3
                49.82         22.80        1.8292    4   0   2
                50.96          1.05        1.7910    4   1   2
                52.08         24.35        1.7551    3   3   2
                52.95          2.18        1.7282    5   1   0
                53.83          1.14        1.7021    4   3   1
                54.27          1.35        1.6894    4   2   2
                56.00          6.22        1.6411    0   0   4
                56.41          1.26        1.6302    3   2   3
                58.06         11.57        1.5878    5   2   1
                59.29          4.57        1.5578    4   4   0
                60.51          5.07        1.5292    5   1   2
                60.52          3.46        1.5289    4   1   3
                61.30          1.77        1.5112    5   3   0
                63.09          1.13        1.4727    5   3   1
                63.28          5.22        1.4687    6   0   0
                64.09          2.10        1.4520    2   2   4
                66.00          1.83        1.4146    6   1   1
                66.02         10.18        1.4141    3   1   4
                68.28          1.58        1.3727    5   3   2
                69.78          2.83        1.3469    5   4   1
                72.02          5.45        1.3105    5   2   3
                73.84          3.20        1.2825    6   2   2
                75.31          3.94        1.2610    4   2   4
                76.41          3.59        1.2456    2   1   5
                80.69          1.03        1.1900    5   1   4
                82.79          4.40        1.1651    7   1   2
                82.80          1.59        1.1650    5   4   3
                83.49          3.73        1.1571    7   3   0
                84.55          5.27        1.1452    6   4   2
                85.98          2.55        1.1298    4   4   4
                87.05          1.00        1.1187    4   1   5
                87.73          1.07        1.1117    5   3   4
                89.48          3.30        1.0944    6   0   4
                89.48          3.30        1.0944    6   0   4
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
