      Leucophanite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R060199
      Grice J D, Hawthorne F C
      The Canadian Mineralogist 27 (1989) 193-197
      Refinement of the crystal structure of leucophanite

      CELL PARAMETERS:   7.3730  7.3960  9.9460   90.000   90.000   90.000
      SPACE GROUP: P2_12_12_1

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Ca     0.07880   0.64620   0.75990     1.000     0.779
            Na     0.10210   0.67820   0.24650     1.000     1.582
            Be     0.12000   0.35920   0.53070     1.000     0.218
            Si     0.10000   0.35800   0.02410     1.000     0.605
            Si     0.23710   0.99170   0.99940     1.000     0.618
            O      0.09120   0.35480   0.86450     1.000     0.829
            O      0.14830   0.15800   0.08950     1.000     0.792
            O      0.09860   0.91360   0.41110     1.000     0.795
            O      0.08000   0.91290   0.90300     1.000     0.776
            O      0.17690   0.16260   0.59350     1.000     0.766
            O      0.25530   0.50760   0.58920     1.000     0.800
            F      0.12160   0.35260   0.37290     1.000     1.253

            BOUNDS ON TWO THETA:    0.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  6 +/-  6 +/-  9
            MAX. ABS. INTENSITY / VOLUME**2:      7.013204367    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                14.93          8.83        5.9349    0   1   1
                14.96         16.51        5.9230    1   0   1
                17.84         21.66        4.9730    0   0   2
                19.20          8.10        4.6232    1   1   1
                21.53          1.73        4.1269    0   1   2
                21.55          1.43        4.1228    1   0   2
                24.72         65.79        3.6011    1   1   2
                25.70         11.20        3.4662    0   2   1
                25.77         10.89        3.4567    2   0   1
                26.97          3.13        3.3055    1   2   0
                27.02          3.56        3.2994    2   1   0
                28.45          3.19        3.1368    1   2   1
                28.50          5.15        3.1315    2   1   1
                29.53          6.76        3.0253    0   1   3
                29.54          9.45        3.0237    1   0   3
                30.12         32.06        2.9675    0   2   2
                30.18         34.70        2.9615    2   0   2
                32.53        100.00        2.7529    1   2   2
                32.57         92.71        2.7493    2   1   2
                34.35         14.72        2.6108    2   2   0
                36.12          2.88        2.4865    0   0   4
                36.45          1.56        2.4651    2   0   3
                37.70          2.77        2.3859    3   0   1
                38.19          8.90        2.3569    0   1   4
                38.20          7.99        2.3561    1   0   4
                38.46          3.50        2.3408    1   2   3
                38.49          3.32        2.3386    2   1   3
                38.50         15.17        2.3381    1   3   0
                38.60         15.89        2.3323    3   1   0
                38.96         45.97        2.3116    2   2   2
                39.60          4.58        2.2760    1   3   1
                39.69          3.17        2.2707    3   1   1
                40.17          8.48        2.2450    1   1   4
                40.85         19.03        2.2088    0   3   2
                40.96         17.27        2.2033    3   0   2
                42.73          3.76        2.1159    1   3   2
                42.83          2.16        2.1116    3   1   2
                44.15          3.79        2.0511    2   2   3
                45.66         19.69        1.9871    1   2   4
                45.69         19.05        1.9857    2   1   4
                48.02          2.76        1.8947    2   3   2
                48.07          2.18        1.8928    3   2   2
                49.00          1.77        1.8589    1   1   5
                49.28          9.97        1.8490    0   4   0
                49.45          8.06        1.8433    4   0   0
                50.35          1.05        1.8124    4   0   1
                50.70          6.88        1.8006    2   2   4
                50.92          4.07        1.7935    1   4   0
                51.07          4.55        1.7885    4   1   0
                51.80          2.40        1.7650    1   4   1
                51.95          2.70        1.7603    4   1   1
                52.22          2.50        1.7518    0   2   5
                52.26          2.63        1.7506    2   0   5
                52.50          1.63        1.7432    2   3   3
                52.54          2.10        1.7417    3   2   3
                52.58         16.55        1.7405    3   3   0
                52.82          1.88        1.7331    0   4   2
                52.98          1.46        1.7283    4   0   2
                53.44          1.56        1.7145    3   3   1
                53.82         24.69        1.7033    1   3   4
                53.90         28.30        1.7011    3   1   4
                54.38          4.61        1.6871    1   4   2
                54.52          6.54        1.6830    4   1   2
                55.43          3.82        1.6577    0   0   6
                55.61          8.74        1.6528    2   4   0
                55.72          7.11        1.6497    4   2   0
                55.97          9.13        1.6428    3   3   2
                58.32          1.76        1.5823    2   2   5
                58.35          2.71        1.5814    2   3   4
                58.40          2.05        1.5803    3   2   4
                58.41          4.95        1.5800    1   1   6
                58.51          3.22        1.5774    1   4   3
                58.65          1.81        1.5741    4   1   3
                58.88          1.22        1.5684    2   4   2
                58.99          1.31        1.5658    4   2   2
                60.03          1.19        1.5411    3   3   3
                61.17          2.56        1.5151    1   3   5
                61.24          1.57        1.5135    3   1   5
                61.28          1.15        1.5126    0   2   6
                61.32          1.22        1.5119    2   0   6
                62.70          7.23        1.4818    1   2   6
                62.73          6.14        1.4812    2   1   6
                63.73          1.90        1.4603    4   3   1
