      Leucophanite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from single crystal data of R060207
      Grice J D, Hawthorne F C
      The Canadian Mineralogist 27 (1989) 193-197
      Refinement of the crystal structure of leucophanite

      CELL PARAMETERS:   7.3780  7.3780  9.9580   90.000   90.000   90.000
      SPACE GROUP: P2_12_12_1

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Ca     0.07880   0.64620   0.75990     1.000     0.779
            Na     0.10210   0.67820   0.24650     1.000     1.582
            Be     0.12000   0.35920   0.53070     1.000     0.218
            Si     0.10000   0.35800   0.02410     1.000     0.605
            Si     0.23710   0.99170   0.99940     1.000     0.618
            O      0.09120   0.35480   0.86450     1.000     0.829
            O      0.14830   0.15800   0.08950     1.000     0.792
            O      0.09860   0.91360   0.41110     1.000     0.795
            O      0.08000   0.91290   0.90300     1.000     0.776
            O      0.17690   0.16260   0.59350     1.000     0.766
            O      0.25530   0.50760   0.58920     1.000     0.800
            F      0.12160   0.35260   0.37290     1.000     1.253

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  6 +/-  6 +/-  9
            MAX. ABS. INTENSITY / VOLUME**2:      13.51922968    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                14.94          4.57        5.9282    0   1   1
                14.94          8.60        5.9282    1   0   1
                17.81         11.28        4.9790    0   0   2
                19.21          4.20        4.6212    1   1   1
                24.72         34.19        3.6019    1   1   2
                25.75          5.78        3.4593    0   2   1
                25.75          5.67        3.4593    2   0   1
                27.02          1.85        3.2995    2   1   0
                27.02          1.61        3.2995    1   2   0
                28.50          2.68        3.1321    2   1   1
                28.50          1.65        3.1321    1   2   1
                29.51          3.52        3.0271    0   1   3
                29.51          4.92        3.0271    1   0   3
                30.15         16.59        2.9641    0   2   2
                30.15         18.07        2.9641    2   0   2
                32.56         48.21        2.7504    2   1   2
                32.56         51.79        2.7504    1   2   2
                34.38          7.62        2.6085    2   2   0
                36.08          1.50        2.4895    0   0   4
                37.67          1.44        2.3876    3   0   1
                38.15          4.63        2.3588    0   1   4
                38.15          4.17        2.3588    1   0   4
                38.47          1.73        2.3401    2   1   3
                38.47          1.82        2.3401    1   2   3
                38.59          7.83        2.3331    1   3   0
                38.59          8.26        2.3331    3   1   0
                38.98         23.83        2.3106    2   2   2
                39.68          2.36        2.2716    1   3   1
                39.68          1.65        2.2716    3   1   1
                40.13          4.42        2.2468    1   1   4
                40.93          9.00        2.2050    3   0   2
                40.93          9.82        2.2050    0   3   2
                42.80          1.94        2.1127    1   3   2
                42.80          1.12        2.1127    3   1   2
                44.16          1.97        2.0510    2   2   3
                45.65          9.92        1.9873    2   1   4
                45.65         10.23        1.9873    1   2   4
                48.07          1.43        1.8927    2   3   2
                48.07          1.13        1.8927    3   2   2
                49.41          5.13        1.8445    0   4   0
                49.41          4.20        1.8445    4   0   0
                50.69          3.58        1.8009    2   2   4
                51.04          2.37        1.7894    4   1   0
                51.04          2.09        1.7894    1   4   0
                51.92          1.23        1.7612    1   4   1
                51.92          1.40        1.7612    4   1   1
                52.19          1.30        1.7525    0   2   5
                52.19          1.37        1.7525    2   0   5
                52.54          1.09        1.7419    3   2   3
                52.63          8.56        1.7390    3   3   0
                53.85         12.79        1.7024    1   3   4
                53.85         14.74        1.7024    3   1   4
                54.49          2.38        1.6840    1   4   2
                54.49          3.41        1.6840    4   1   2
                55.36          2.00        1.6597    0   0   6
                55.72          3.69        1.6498    4   2   0
                55.72          4.51        1.6498    2   4   0
                56.01          4.73        1.6418    3   3   2
                58.34          2.58        1.5816    1   1   6
                58.38          1.40        1.5808    2   3   4
                58.38          1.07        1.5808    3   2   4
                58.61          1.66        1.5751    1   4   3
                61.19          1.33        1.5148    1   3   5
                62.66          3.20        1.4827    2   1   6
                62.66          3.77        1.4827    1   2   6
                66.81          5.03        1.4003    2   2   6
                67.40          1.06        1.3895    5   1   2
                68.19          1.48        1.3752    2   4   4
                69.51          1.93        1.3524    1   3   6
                69.51          1.68        1.3524    3   1   6
                71.41          5.36        1.3210    2   5   2
                71.41          5.06        1.3210    5   2   2
                72.47          4.73        1.3043    4   4   0
                75.33          1.71        1.2617    4   4   2
                76.54          1.67        1.2448    0   0   8
                77.65          2.21        1.2297    6   0   0
                77.65          2.00        1.2297    0   6   0
                78.62          2.80        1.2169    4   1   6
                78.62          2.36        1.2169    1   4   6
                79.90          2.01        1.2006    3   3   6
                79.92          1.62        1.2003    2   5   4
                79.92          1.50        1.2003    5   2   4
                81.71          1.03        1.1785    1   6   2
                85.49          1.24        1.1358    2   6   2
                85.49          1.15        1.1358    6   2   2
                86.67          1.44        1.1234    2   2   8
                86.74          1.19        1.1226    4   5   2
                88.73          1.06        1.1025    6   0   4
                89.17          2.21        1.0982    1   3   8
                89.17          2.17        1.0982    3   1   8
                89.96          1.89        1.0906    1   5   6
                89.96          1.75        1.0906    5   1   6
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
