      Norrishite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R060368
      Tyrna P L, Guggenheim S
      American Mineralogist 76 (1991) 266-271
      The crystal structure of norrishite, KLiMn2Si4O12: An oxygen-rich mica

      CELL PARAMETERS:   5.2800  8.9100 10.0500   90.000   98.200   90.000
      SPACE GROUP: C2/m      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            K      0.00000   0.50000   0.00000     1.000     2.158
            Li     0.00000   0.00000   0.50000     1.000     1.256
            Mn     0.00000   0.34720   0.50000     1.000     0.751
            Si     0.06290   0.17070   0.22700     1.000     0.813
            O      0.04500   0.00000   0.16700     1.000     1.226
            O      0.29700   0.24860   0.16150     1.000     1.224
            O      0.10800   0.17870   0.38530     1.000     0.896
            O      0.10900   0.50000   0.39600     1.000     1.126

            BOUNDS ON TWO THETA:    0.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  4 +/-  8 +/-  9
            MAX. ABS. INTENSITY / VOLUME**2:      16.41423696    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                 8.89        100.00        9.9473    0   0   1
                19.69          1.23        4.5078    1   1   0
                19.93         22.52        4.4550    0   2   0
                20.61         23.44        4.3101   -1   1   1
                21.86          8.61        4.0659    0   2   1
                24.97         56.55        3.5655   -1   1   2
                26.87         14.09        3.3184    0   2   2
                26.89         31.63        3.3158    0   0   3
                28.31         60.00        3.1527    1   1   2
                31.47          3.77        2.8432   -1   1   3
                33.70         15.40        2.6599    0   2   3
                34.32         26.68        2.6130    2   0   0
                34.74          5.33        2.5821    1   3   0
                35.29         26.61        2.5433   -1   3   1
                36.12          4.64        2.4868    0   0   4
                36.79         20.59        2.4431    2   0   1
                38.12         29.51        2.3607   -1   3   2
                39.16          4.71        2.3004   -1   1   4
                39.91          6.51        2.2589   -2   2   1
                40.48          5.71        2.2284    1   3   2
                40.81          1.67        2.2114   -2   0   3
                41.26          8.88        2.1883    2   0   2
                41.55         11.86        2.1737    0   4   1
                41.92          1.45        2.1550   -2   2   2
                42.19          6.74        2.1421    2   2   1
                42.85         16.97        2.1106   -1   3   3
                43.68          1.40        2.0723    1   1   4
                45.60          2.80        1.9895    0   0   5
                45.81          1.02        1.9808   -2   2   3
                46.05         10.34        1.9710    1   3   3
                46.69          4.84        1.9453   -2   0   4
                47.26          1.21        1.9233    2   0   3
                47.64          1.75        1.9089   -1   1   5
                49.03          1.88        1.8578   -1   3   4
                51.24          2.41        1.7827   -2   2   4
                52.51          1.04        1.7426    1   1   5
                53.07          2.63        1.7257   -3   1   1
                54.10          2.29        1.6952    2   4   0
                54.24          1.72        1.6912   -3   1   2
                54.44          8.95        1.6854    2   0   4
                55.37          4.52        1.6592    0   4   4
                55.42          1.45        1.6579    0   0   6
                55.85          3.66        1.6460    2   4   1
                56.36         16.30        1.6325   -1   3   5
                56.76          1.06        1.6220   -1   1   6
                56.83          2.32        1.6201   -1   5   2
                58.60          2.53        1.5754    1   5   2
                58.84          6.40        1.5693   -2   4   3
                59.59          3.86        1.5514    3   1   2
                60.42          1.21        1.5321   -1   5   3
                60.74          8.86        1.5248    1   3   5
                61.24         14.04        1.5135   -3   3   1
                61.35          2.22        1.5110   -3   1   4
                61.73          1.13        1.5026    3   3   0
                61.85          3.00        1.5000   -2   0   6
                61.97          1.76        1.4974    1   1   6
                62.31          4.35        1.4900   -3   3   2
                62.55          6.20        1.4850    0   6   0
                62.60          2.27        1.4838    0   4   5
                63.32          2.02        1.4687    0   6   1
                63.95          1.43        1.4557    2   4   3
                64.63          2.05        1.4420   -1   3   6
                65.71          1.32        1.4210    0   0   7
                66.39          1.63        1.4081    2   2   5
                69.42          1.19        1.3538    0   2   7
                69.50          7.38        1.3524    1   3   6
                70.82          4.02        1.3306   -2   0   7
                71.47          1.38        1.3199   -4   0   1
                72.07          1.44        1.3104   -4   0   2
                72.14          2.29        1.3094    3   3   3
                73.27          1.20        1.2920   -2   6   1
                73.33          6.60        1.2911    2   6   0
                74.11          1.92        1.2794   -4   0   3
                74.27          3.35        1.2770   -3   3   5
                74.41          2.52        1.2750    0   6   4
                74.41          3.08        1.2749   -2   2   7
                74.60          1.68        1.2722    4   0   1
                74.82          2.89        1.2690    2   6   1
                75.21          1.36        1.2634    2   2   6
                76.63          1.71        1.2434    0   0   8
                77.41          1.97        1.2328   -2   6   3
                77.65          1.11        1.2297   -4   2   3
                78.13          1.26        1.2233    4   2   1
                79.17          1.47        1.2098   -1   7   2
                80.11          2.36        1.1980    0   4   7
                80.69          2.27        1.1908    1   7   2
                81.97          1.02        1.1754    2   6   3
                87.56          2.91        1.1142    2   6   4
                88.41          2.12        1.1057   -4   0   6
                89.59          2.06        1.0941    4   0   4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
