      Vergasovaite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R061141
      Berlepsch P, Armbruster T, Brugger J, Bykova E Y, Kartashov P M
      European Journal of Mineralogy 11 (1999) 101-110
      The crystal structure of vergasovaite Cu3O[(Mo,S)O4SO4],
      and its relation to synthetic Cu3O[MoO4]2

      CELL PARAMETERS:   7.4200  6.8139 13.5030   90.000   90.000   90.000
      SPACE GROUP: Pnma      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Cu     0.00000   0.00000   0.50000     1.000     1.620
            Cu     0.83670  -0.25000   0.34104     1.000     2.270
            Cu     0.67310  -0.25000   0.55569     1.000     2.290
            Mo     0.74740   0.25000   0.31217     0.742     1.530
            S      0.74740   0.25000   0.31217     0.258     1.530
            S      0.33550  -0.25000   0.39800     1.000     1.970
            O      0.89200  -0.25000   0.47940     1.000     1.480
            O      0.77380  -0.25000   0.20330     1.000     4.400
            O      0.53360  -0.25000   0.40750     1.000     4.000
            O      0.26250  -0.07270   0.44700     1.000     2.630
            O      0.86650   0.04050   0.34660     1.000     2.620
            O      0.70310   0.25000   0.19150     1.000     3.700
            O      0.54560   0.25000   0.37380     1.000     3.400

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  6 +/-  6 +/- 12
            MAX. ABS. INTENSITY / VOLUME**2:      21.12111247    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                13.11         25.49        6.7515    0   0   2
                13.62         25.63        6.5029    1   0   1
                14.56          6.65        6.0833    0   1   1
                17.76         10.09        4.9937    1   0   2
                18.86          9.09        4.7043    1   1   1
                22.07          8.37        4.0278    1   1   2
                23.11          2.93        3.8483    1   0   3
                23.69          4.63        3.7556    0   1   3
                23.99         33.96        3.7100    2   0   0
                24.89         36.59        3.5774    2   0   1
                26.16         70.05        3.4069    0   2   0
                26.60         25.66        3.3508    1   1   3
                27.37         10.91        3.2583    2   1   0
                27.43         33.68        3.2514    2   0   2
                28.17          9.89        3.1674    2   1   1
                29.06        100.00        3.0727    1   0   4
                29.36         22.63        3.0416    0   2   2
                29.60         54.86        3.0179    1   2   1
                30.46         11.19        2.9345    2   1   2
                31.24         15.75        2.8628    2   0   3
                31.80          2.73        2.8143    1   2   2
                33.97          1.09        2.6393    2   1   3
                35.18         12.78        2.5509    1   2   3
                35.37         24.56        2.5377    1   0   5
