      Marokite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R070275
      Ling C D, Neumeier J J, Argyriou D N
      Journal of Solid State Chemistry 160 (2001) 167-173
      Observation of antiferromagnetism in marokite CaMn2O4
      Locality: synthetic
      Sample: T = 300 K

      CELL PARAMETERS:   3.1540  9.9870  9.6670   90.000   90.000   90.000
      SPACE GROUP: Pbcm      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Ca     0.68130   0.35230   0.25000     1.000     0.740
            Mn     0.20770   0.11180   0.06840     1.000     0.271
            O      0.58930   0.25000   0.00000     1.000     0.487
            O      0.19160   0.18400   0.25000     1.000     0.429
            O      0.19910   0.47310   0.10790     1.000     0.345

            BOUNDS ON TWO THETA:    0.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  2 +/-  9 +/-  8
            MAX. ABS. INTENSITY / VOLUME**2:      27.60186868    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                17.76          1.74        4.9935    0   2   0
                18.36         22.01        4.8335    0   0   2
                20.01          2.96        4.4366    0   2   1
                25.65          8.38        3.4730    0   2   2
                28.30          1.04        3.1540    1   0   0
                29.70         22.50        3.0076    1   1   0
                31.14         29.29        2.8718    1   1   1
                33.09        100.00        2.7075    0   2   3
                33.61          5.54        2.6666    1   2   0
                33.94          2.13        2.6414    1   0   2
                34.90         10.74        2.5706    1   2   1
                35.14         31.97        2.5536    1   1   2
                35.97         25.71        2.4968    0   4   0
                37.20          1.76        2.4167    0   0   4
                38.56          2.69        2.3349    1   2   2
                39.35         38.13        2.2896    1   3   0
                40.49         56.72        2.2279    1   3   1
                41.05          4.10        2.1987    1   1   3
                41.51         15.41        2.1754    0   2   4
                43.75         45.54        2.0692    1   3   2
                47.39          3.05        1.9183    1   0   4
                48.31          6.33        1.8839    1   1   4
                48.79          3.11        1.8664    1   3   3
                50.29          6.61        1.8144    1   4   2
                50.63          8.01        1.8030    0   2   5
                52.71          1.01        1.7365    0   4   4
                55.26          5.15        1.6623    1   5   1
                55.27          3.24        1.6621    1   3   4
                56.59         25.47        1.6263    1   1   5
                57.17         13.41        1.6112    0   0   6
                57.88          7.60        1.5932    1   5   2
                58.53         11.99        1.5770    2   0   0
                58.66          8.00        1.5738    0   6   2
                59.01          4.16        1.5653    1   2   5
                59.33          7.33        1.5577    2   1   0
                60.57          1.72        1.5287    0   4   5
                62.09         25.64        1.4949    1   5   3
                62.84         18.76        1.4789    0   6   3
                62.92         12.40        1.4772    1   3   5
                64.94          1.78        1.4359    2   2   2
                65.49          1.98        1.4252    2   3   0
                65.75          3.84        1.4202    1   1   6
                66.69          2.38        1.4024    2   1   3
                68.91         12.78        1.3627    2   2   3
                69.43          9.15        1.3538    0   4   6
                70.65          5.90        1.3333    2   4   0
                70.79          1.45        1.3310    0   2   7
                71.62          4.23        1.3176    1   3   6
                72.14          1.29        1.3093    2   1   4
                72.52          3.63        1.3034    2   3   3
                72.75          2.64        1.2999    1   7   0
                73.51          1.19        1.2883    1   7   1
                73.71          1.54        1.2853    2   4   2
                74.66          4.92        1.2713    1   5   5
                75.78          3.39        1.2553    1   7   2
                76.27          2.63        1.2484    0   8   0
                77.02          2.51        1.2381    0   8   1
                79.26          1.75        1.2087    0   8   2
                81.00          2.99        1.1870    2   2   5
                81.37          2.31        1.1825    1   3   7
                82.95          1.04        1.1641    0   8   3
                83.71          3.13        1.1554    2   5   3
                86.32          5.33        1.1270    2   0   6
                86.87          4.63        1.1213    1   1   8
                87.01          1.63        1.1199    2   1   6
                87.58          1.38        1.1140    2   6   2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
