      Krupkaite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R070310
      Mumme W G
      American Mineralogist 60 (1975) 300-308
      The crystal structure of krupkaite, CuPbBi3S6, from the Juno Mine at Tennant
      Creek, Northern Territory, Australia

      CELL PARAMETERS:   4.0220 11.2490 11.5860   90.000   90.000   90.000
      SPACE GROUP: Pmc2_1    

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Bi     0.00000   0.06290   0.98510     1.000     1.740
            Bi     0.00000   0.28820   0.65630     1.000     1.780
            Bi     0.50000   0.57770   0.52170     1.000     1.980
            Pb     0.50000   0.75030   0.83050     1.000     2.330
            Cu     0.00000   0.54650   0.76500     0.200     4.730
            Cu     0.50000   0.03730   0.72970     0.800     3.310
            S      0.00000   0.94630   0.78530     1.000     2.540
            S      0.50000   0.12310   0.54910     1.000     1.600
            S      0.50000   0.19190   0.87250     1.000     1.850
            S      0.50000   0.45130   0.71420     1.000     1.570
            S      0.00000   0.69720   0.61310     1.000     1.080
            S      0.00000   0.61000   0.95940     1.000     3.870

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  3 +/- 10 +/- 10
            MAX. ABS. INTENSITY / VOLUME**2:      79.75716725    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                10.96          3.72        8.0708    0   1   1
                15.29         13.82        5.7930    0   0   2
                15.76          1.56        5.6245    0   2   0
                17.22         17.68        5.1502    0   1   2
                22.03         51.75        4.0354    0   2   2
                23.49         25.70        3.7872    1   1   0
                23.73          9.21        3.7497    0   3   0
                24.37        100.00        3.6527    0   1   3
                24.73         53.10        3.5998    1   1   1
                24.96         84.38        3.5675    0   3   1
                26.99         21.11        3.3038    1   0   2
                28.03         11.17        3.1837    0   2   3
                28.15         62.66        3.1699    1   1   2
                28.35         87.04        3.1485    1   2   1
                28.35          5.23        3.1478    0   3   2
                30.87          4.32        2.8965    0   0   4
                31.40         94.60        2.8487    1   2   2
                31.82          5.67        2.8122    0   4   0
                31.90          2.21        2.8050    0   1   4
                32.65         18.27        2.7426    1   3   0
                32.77          4.09        2.7329    0   4   1
                33.30          1.67        2.6903    0   3   3
                33.58         39.19        2.6689    1   3   1
                34.84         51.23        2.5751    0   2   4
                35.48         15.70        2.5299    0   4   2
                35.98         21.79        2.4963    1   2   3
                36.24          5.58        2.4789    1   3   2
                38.29         25.65        2.3504    1   0   4
                39.15         26.81        2.3007    1   1   4
                39.31          2.55        2.2922    0   3   4
                39.64          6.11        2.2734    0   4   3
                39.71          1.11        2.2695    0   1   5
                39.88         26.27        2.2604    1   4   1
                40.33          6.49        2.2361    1   3   3
                40.86          3.65        2.2085    0   5   1
                41.65         11.07        2.1687    1   2   4
                42.18          7.89        2.1425    0   2   5
                42.20         21.77        2.1415    1   4   2
                43.13          4.48        2.0972    0   5   2
                44.93          3.68        2.0177    0   4   4
                45.08         37.35        2.0110    2   0   0
                45.55          1.36        1.9915    1   3   4
                45.85         35.31        1.9791    1   4   3
                45.91         10.81        1.9766    1   1   5
                46.05         11.18        1.9712    0   3   5
                46.24         13.40        1.9635    1   5   0
                46.73         25.60        1.9440    0   5   3
                46.93          4.87        1.9359    1   5   1
                47.06         11.33        1.9310    0   0   6
                47.79          1.65        1.9032    0   1   6
                47.88          1.53        1.8998    2   0   2
                48.12         10.19        1.8909    1   2   5
                48.56          8.54        1.8748    0   6   0
                48.60          2.01        1.8733    2   1   2
                48.98          5.29        1.8596    1   5   2
                49.23          3.07        1.8508    0   6   1
                49.94          2.65        1.8264    0   2   6
                50.61          1.90        1.8035    1   4   4
                50.72         10.21        1.7999    2   2   2
                51.21          2.80        1.7837    0   6   2
                51.43          3.42        1.7768    0   5   4
                51.57          1.85        1.7722    2   3   0
                51.64         14.64        1.7700    1   3   5
                51.90         21.86        1.7617    2   1   3
                52.22         20.00        1.7518    2   3   1
                52.27          5.05        1.7503    1   5   3
                52.57         11.11        1.7408    1   0   6
                53.25          5.84        1.7203    1   1   6
                53.37          2.30        1.7167    0   3   6
                53.93          2.75        1.7002    2   2   3
                53.96          1.29        1.6993    1   6   0
                54.12          1.39        1.6947    2   3   2
                54.58          5.44        1.6813    1   6   1
                55.24          2.27        1.6629    1   2   6
                55.64          1.21        1.6519    2   0   4
                56.23          1.82        1.6358    2   4   0
                56.30          6.14        1.6341    1   4   5
                56.84          1.45        1.6197    2   4   1
                57.93          1.80        1.5919    0   4   6
                57.94          2.50        1.5918    0   7   1
                58.09          1.34        1.5878    0   2   7
                58.21         18.19        1.5850    2   2   4
                58.45          2.95        1.5789    1   3   6
                58.64          5.47        1.5742    2   4   2
                58.66          2.73        1.5739    0   6   4
                59.71          3.14        1.5485    0   7   2
                61.10          9.57        1.5166    1   1   7
                61.21          6.99        1.5142    0   3   7
                61.32          1.10        1.5117    2   3   4
                61.57          2.80        1.5063    2   4   3
                61.95          2.07        1.4980    1   5   5
                62.46          1.75        1.4869    2   5   1
                62.78          2.96        1.4801    1   7   1
                62.93          3.43        1.4769    1   2   7
                63.44          3.71        1.4663    2   2   5
                63.47          5.11        1.4657    1   6   4
                63.49          1.67        1.4653    0   5   6
                63.87          1.41        1.4575    0   6   5
                64.16          2.19        1.4515    2   5   2
                64.48          8.81        1.4451    1   7   2
                64.92          1.69        1.4364    0   1   8
                65.43          3.11        1.4264    0   4   7
                65.54          1.94        1.4244    2   4   4
                66.41          6.25        1.4077    2   3   5
                66.69          1.08        1.4025    0   2   8
                66.95         13.84        1.3977    2   5   3
                67.21          6.47        1.3928    2   0   6
                67.26          3.80        1.3920    1   7   3
                67.80          1.01        1.3823    2   1   6
                68.10          3.55        1.3768    1   5   6
                68.41          4.88        1.3713    2   6   0
                68.47          3.17        1.3703    1   6   5
                68.69          2.32        1.3664    0   8   2
                68.96          1.95        1.3618    2   6   1
                69.49          1.06        1.3527    1   1   8
                69.53          1.47        1.3520    2   2   6
                69.94          3.25        1.3451    0   6   6
                69.98          1.25        1.3444    1   4   7
                70.58          1.74        1.3344    2   6   2
                70.76          2.18        1.3315    2   5   4
                71.01          1.48        1.3273    1   8   0
                71.06          9.19        1.3266    1   7   4
                71.20          5.44        1.3243    1   2   8
                71.31          2.02        1.3225    3   1   1
                71.39          1.30        1.3213    0   8   3
                71.55          2.25        1.3187    1   8   1
                72.38          1.56        1.3057    2   3   6
                72.91          2.92        1.2974    3   1   2
                73.01          3.82        1.2959    3   2   1
                74.14          2.94        1.2790    0   1   9
                74.36          1.68        1.2757    1   6   6
                74.59          4.92        1.2723    3   2   2
                75.06          5.25        1.2655    1   5   7
                75.10          1.71        1.2649    0   8   4
                75.28          1.11        1.2624    3   3   0
                75.80          2.11        1.2550    3   3   1
                76.29          1.32        1.2481    2   4   6
                76.29          1.70        1.2481    2   7   1
                76.69          1.79        1.2427    0   9   1
                76.92          2.00        1.2394    2   6   4
                77.21          1.50        1.2356    3   2   3
                77.85          2.41        1.2269    2   7   2
                77.91          3.45        1.2262    1   4   8
                78.64          2.10        1.2167    3   0   4
                79.18          5.34        1.2096    2   3   7
                79.19          2.51        1.2096    3   1   4
                79.66          2.35        1.2036    3   4   1
                80.46          2.19        1.1936    1   9   0
                80.98          1.32        1.1873    1   9   1
                81.11          1.82        1.1857    1   6   7
                81.20          2.04        1.1846    3   4   2
                81.23          1.39        1.1843    2   5   6
                81.57          1.18        1.1801    2   6   5
                82.39          1.92        1.1705    0   4   9
                82.53          1.40        1.1689    2   1   8
                82.82          1.70        1.1655    1   5   8
                82.83          1.38        1.1653    1   3   9
                83.00          2.73        1.1635    2   4   7
                83.76          4.24        1.1548    3   4   3
                83.80          1.15        1.1543    3   1   5
                84.04          1.64        1.1517    3   5   0
                85.43          1.31        1.1365    3   2   5
                86.02          2.11        1.1302    2   8   2
                86.62          1.99        1.1239    1   4   9
                87.18          2.97        1.1181    2   6   6
                87.65          2.86        1.1133    1   0  10
                88.12          2.28        1.1086    3   3   5
                88.56          1.24        1.1043    2   8   3
                88.86          1.65        1.1013    3   0   6
                88.98          1.52        1.1001    0   9   5
                89.62          2.50        1.0938    1   8   6
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
