      Tellurite
      Diffraction data computed using the structure from the paper listed below, 
      along with the cell parameters refined from single crystal data of R070606
      Beyer H
      Zeitschrift fur Kristallographie 124 (1967) 228-237
      Verfeinerung der kristallstruktur von tellurit, dem rhomischen TeO2
      Locality: Moctezuma, Mexico
      _database_code_amcsd 0010638

      CELL PARAMETERS:  12.0450  5.4620  5.6040   90.000   90.000   90.000
      SPACE GROUP: Pbca      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Te     0.11820   0.02550   0.37810     1.000     1.065
            O      0.02700   0.63700   0.17800     1.000     0.700
            O      0.17400   0.22200   0.08600     1.000     0.700

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/- 11 +/-  5 +/-  5
            MAX. ABS. INTENSITY / VOLUME**2:      105.3575336    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                14.71          5.05        6.0225    2   0   0
                21.97         11.40        4.0459    2   1   0
                23.92         97.67        3.7202    1   1   1
                27.18        100.00        3.2803    2   1   1
                29.67         38.02        3.0113    4   0   0
                31.94         20.91        2.8017    3   1   1
                32.79         21.47        2.7310    0   2   0
                32.82         20.24        2.7291    1   0   2
                34.00          1.73        2.6370    4   1   0
                36.60          6.52        2.4550    0   2   1
                36.82          1.98        2.4413    1   1   2
                37.38          1.08        2.4055    1   2   1
                39.21         22.94        2.2978    3   0   2
                39.65          1.06        2.2734    2   2   1
                43.19          1.48        2.0945    3   2   1
                44.15         19.18        2.0512    5   1   1
                44.80         22.00        2.0229    4   2   0
                47.07         24.54        1.9304    1   2   2
                49.93          5.34        1.8267    5   0   2
                51.14         17.87        1.7860    6   1   1
                52.01         18.07        1.7582    3   2   2
                52.31          9.97        1.7488    1   1   3
                52.51          1.99        1.7428    2   3   0
                53.46          6.06        1.7140    1   3   1
                54.07         16.43        1.6960    2   1   3
                55.19         10.19        1.6642    2   3   1
                56.92          2.71        1.6177    3   1   3
                56.93          1.51        1.6175    6   2   0
                58.01          5.12        1.5900    3   3   1
                58.61          2.53        1.5750    7   1   1
                61.03          6.17        1.5184    5   2   2
                61.19          3.39        1.5146    1   3   2
                61.60          3.54        1.5056    8   0   0
                63.44          9.27        1.4663    7   0   2
                65.40          1.57        1.4270    3   3   2
                65.50          3.80        1.4251    5   1   3
                66.34          1.07        1.4091    7   2   1
                66.50          3.98        1.4060    5   3   1
                66.55          1.14        1.4051    8   1   1
                66.77          4.05        1.4010    0   0   4
                68.74          1.91        1.3655    0   4   0
                69.73          1.61        1.3486    6   3   0
                71.06          5.42        1.3266    6   1   3
                71.55          1.30        1.3187    1   4   1
                71.56          5.10        1.3185    8   2   0
                72.02          3.05        1.3112    6   3   1
                72.99          1.26        1.2962    1   3   3
                73.27          5.57        1.2919    7   2   2
                74.45          3.58        1.2743    2   3   3
                74.73          4.56        1.2702    4   0   4
                75.01          4.19        1.2663    9   1   1
                75.47          1.06        1.2597    3   4   1
                76.41          3.47        1.2465    0   2   4
                76.62          3.45        1.2436    4   4   0
                76.88          1.63        1.2401    3   3   3
                78.29          1.98        1.2212    1   4   2
                78.84          1.39        1.2141    4   4   1
                82.10          3.23        1.1739    3   4   2
                84.03          5.51        1.1518    4   2   4
                84.09          2.03        1.1512   10   1   1
                84.49          1.93        1.1466    5   3   3
                89.67          2.46        1.0934    6   3   3
                89.67          1.41        1.0934    1   1   5
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
