      Fingerite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R070614
      Finger L W
      American Mineralogist 70 (1985) 197-199
      Fingerite Cu11O2(VO4)6: a new vanadium sublimate from Izalco Volcano, El
      Salvador: crystal structure

      CELL PARAMETERS:   8.1620  8.2680  8.0450  107.096   91.414  106.429
      SPACE GROUP: P-1       

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Cu     0.00000   0.00000   0.00000     1.000     0.560
            Cu     0.84100   0.14550   0.72210     1.000     0.640
            Cu     0.70460   0.33720   0.50080     1.000     0.570
            Cu     0.58070   0.50780   0.27710     1.000     0.710
            Cu     0.78450   0.25220   0.12660     1.000     0.600
            Cu     0.37110   0.14600   0.14850     1.000     1.120
            V      0.90250   0.75370   0.56750     1.000     0.410
            V      0.18710   0.43760   0.07810     1.000     0.380
            V      0.58870   0.93480   0.26670     1.000     0.390
            O      0.70550   0.57570   0.51310     1.000     0.640
            O      0.78760   0.47850   0.08910     1.000     0.700
            O      0.36280   0.37000   0.11380     1.000     0.740
            O      0.81830   0.39110   0.74040     1.000     0.680
            O     -0.00030   0.24910   0.02000     1.000     0.570
            O      0.95020   0.32560   0.37680     1.000     0.820
            O      0.38040   0.92680   0.18140     1.000     0.610
            O      0.72870  -0.00930   0.11500     1.000     0.650
            O      0.12430   0.07300   0.24050     1.000     0.610
            O      0.40240   0.72240   0.73690     1.000     0.530
            O      0.33230   0.91330   0.53310     1.000     0.720
            O      0.42860   0.26450   0.71790     1.000     1.050
            O      0.95460   0.81850   0.39370     1.000     0.780

            BOUNDS ON TWO THETA:    0.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  7 +/-  6 +/-  7
            MAX. ABS. INTENSITY / VOLUME**2:      7.221547659    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                11.38          4.11        7.7744    1   0   0
                11.59          8.34        7.6362    0   0   1
                11.75          2.65        7.5297    0   1   0
                13.66         14.70        6.4806   -1   1   0
                13.68        100.00        6.4725    0  -1   1
                15.28         16.86        5.7994   -1   0   1
                16.35          8.68        5.4229    1  -1   1
                18.73         60.06        4.7375    1   1   0
                19.43         16.59        4.5684   -1   1   1
                22.33          1.01        3.9818   -2   1   0
                22.56         12.02        3.9405    0  -1   2
                22.78          1.32        3.9035    1  -2   1
                22.88         21.49        3.8872    2   0   0
                22.91         15.01        3.8822   -1   2   0
                23.30          6.71        3.8181    0   0   2
                24.44         46.31        3.6417   -2   0   1
                24.64         23.40        3.6135    1   1   1
                24.74         63.19        3.5986   -1   0   2
                24.74         20.78        3.5984    2  -1   1
                25.70          9.59        3.4665   -2   1   1
                25.73          9.37        3.4628   -1  -1   2
                26.93         52.92        3.3104    2   0   1
                27.20         48.04        3.2780    1   0   2
                27.53         10.36        3.2403   -2   2   0
                28.00         13.68        3.1866    2  -2   1
                28.10         12.73        3.1751   -1  -2   1
                28.42         10.10        3.1408   -1   2   1
                28.63         15.94        3.1179   -2  -1   1
                28.87         32.47        3.0925    2   1   0
                29.12          1.32        3.0669   -1   1   2
                29.33         26.08        3.0452    1   2   0
                29.36         71.34        3.0419    0   1   2
                29.56         43.21        3.0215    0   2   1
                30.84         88.41        2.8997   -2   0   2
                31.61         21.29        2.8302   -1  -2   2
                31.72         76.05        2.8207    2  -1   2
                31.80          7.50        2.8138   -2   2   1
                32.60         86.51        2.7469    1  -3   1
                32.96         79.74        2.7174   -3   1   0
                32.97         38.06        2.7169   -2  -1   2
                33.24         98.95        2.6953   -2   1   2
                33.44         61.32        2.6800    0  -1   3
                33.60         45.06        2.6674    2   1   1
                33.89          2.96        2.6453    1   1   2
                33.92         28.10        2.6432    0  -3   1
                34.04         19.67        2.6337   -1   3   0
                34.82          9.88        2.5766    2   0   2
                34.84         29.54        2.5752    1   2   1
                34.94         18.22        2.5683   -3   1   1
                35.17          5.71        2.5520    3  -1   1
                35.24          6.17        2.5469   -3   0   1
                35.26          8.40        2.5454    0   0   3
                35.34         53.55        2.5399    2  -3   1
                35.36          1.33        2.5385    1  -3   2
                35.60          3.71        2.5220   -3   2   0
                35.61         61.78        2.5214    1  -1   3
                35.78          2.98        2.5099    0   3   0
                35.81         10.49        2.5078   -1   0   3
                35.85         15.23        2.5048    0  -2   3
                36.13         44.22        2.4858    0  -3   2
                36.23          6.81        2.4793   -2   3   0
                36.43         43.88        2.4661    3  -2   1
                36.57         17.12        2.4573   -2  -2   1
                36.74         37.10        2.4465    1  -2   3
                37.15         26.88        2.4204   -1   2   2
                37.99         23.59        2.3688    2   2   0
                38.49          7.04        2.3391    1   0   3
                38.49          9.94        2.3388    0   2   2
                38.66         12.40        2.3292   -3   2   1
                38.71          5.08        2.3262   -1  -2   3
                38.93         11.20        2.3135   -1  -3   1
                39.28          8.80        2.2935   -1   3   1
                39.49         63.07        2.2822   -3  -1   1
                39.67         68.90        2.2720   -3   0   2
                40.09          9.57        2.2493    3   1   0
                40.55         12.50        2.2245   -3   1   2
                40.59          5.24        2.2229   -2  -1   3
                40.82          9.31        2.2104   -2   3   1
                40.83         28.79        2.2101    0   1   3
                41.00          2.00        2.2011    1   3   0
                41.15          1.70        2.1934    2  -2   3
                41.21          1.49        2.1903    2  -1   3
                41.24          2.20        2.1893    0   3   1
                41.46          8.80        2.1778    2   1   2
                41.60          7.77        2.1711    1  -3   3
                41.82          4.83        2.1602   -3   3   0
                43.20          1.11        2.0941    1   2   2
                43.86         76.34        2.0641    1  -4   1
                44.70          2.26        2.0274   -2  -2   3
                44.72          3.37        2.0264    1   1   3
                44.80         70.09        2.0232    2   0   3
                44.93          6.70        2.0174   -3   2   2
                45.00         12.65        2.0144    1  -4   2
                45.04         15.01        2.0129    2  -4   1
                45.19          4.56        2.0066    0  -1   4
                45.56          3.81        1.9909   -4   2   0
                45.57          1.13        1.9908   -3   3   1
                45.89          1.42        1.9776    0  -4   1
                46.04          1.11        1.9716   -1   4   0
                46.24          9.67        1.9633   -1  -1   4
                46.57          8.24        1.9501    4  -1   1
                46.62          2.60        1.9482    0  -4   2
                46.74          5.66        1.9436    4   0   0
                46.77          1.89        1.9421   -3  -2   1
                46.80         10.67        1.9411   -2   4   0
                46.86          6.82        1.9388   -4   0   1
                47.01          5.14        1.9331   -3   0   3
                47.26          2.21        1.9233   -1   3   2
                47.64          6.32        1.9090    0   0   4
                47.70          2.11        1.9066   -1   0   4
                48.24          2.56        1.8867   -2   3   2
                48.35          1.81        1.8824    0   4   0
                48.41          2.96        1.8803   -3  -2   2
                48.80          1.25        1.8661    2   3   0
                49.09          3.14        1.8557    0   2   3
                49.28          1.45        1.8490    1  -4   3
                49.30         10.10        1.8484    3  -1   3
                49.31          7.21        1.8479    0   3   2
                50.10         17.16        1.8208   -4   0   2
                50.14          3.56        1.8193    0  -3   4
                50.49          6.89        1.8076    3  -3   3
                50.51         12.40        1.8068    2   2   2
                50.74         14.29        1.7993   -2   0   4
                50.74          8.18        1.7992    4  -2   2
                50.82          1.72        1.7968   -1  -4   1
                50.98          1.15        1.7912    3  -4   2
                51.15          9.80        1.7858   -1  -4   2
                51.20         12.16        1.7842   -1   4   1
                51.31          2.80        1.7805    2   1   3
                51.66          9.64        1.7692   -2  -3   3
                52.04          3.82        1.7572    4   1   0
                52.11          1.40        1.7551   -3   3   2
                52.19          2.55        1.7528    2  -1   4
                52.82          1.37        1.7333   -4   2   2
                52.88         14.06        1.7314   -2  -2   4
                52.90          6.69        1.7309    4  -3   2
                52.91          5.15        1.7305   -1  -3   4
                53.06          2.91        1.7259    0   1   4
                53.33         21.74        1.7177    3   0   3
                53.33          9.33        1.7177   -4  -1   2
                53.39          1.67        1.7161    1   2   3
                53.45          5.84        1.7144    1   4   0
                53.68          3.01        1.7074    0   4   1
                54.22          2.84        1.6917   -2   1   4
                54.41         12.68        1.6862   -1  -4   3
                55.52          9.42        1.6552    4   0   2
                55.57          3.13        1.6538    3  -4   3
                55.95          6.88        1.6433    4  -4   1
                56.40          2.86        1.6314   -3   0   4
                56.62          9.02        1.6255    1   1   4
                56.77          3.20        1.6215   -3  -3   2
                56.78          9.97        1.6213   -4   1   3
                56.79          8.40        1.6212   -5   2   0
                57.37          5.86        1.6061   -5   1   1
                57.45          1.84        1.6040    4  -2   3
                57.57          3.56        1.6010    0  -2   5
                57.68          5.45        1.5982   -2   3   3
                58.01          4.79        1.5900    5  -2   1
                58.11         27.42        1.5875    2  -4   4
                58.19          1.42        1.5853   -4  -1   3
                58.27          1.06        1.5834   -2  -3   4
                58.27          2.31        1.5833   -1  -1   5
                58.33          1.01        1.5819   -5   2   1
                58.39          3.02        1.5804    0  -5   2
                58.44          6.85        1.5792    3   3   0
                58.63          2.22        1.5745   -2   5   0
                58.64          3.15        1.5742    0  -5   1
                58.76          3.82        1.5713    1   4   1
                58.78          3.93        1.5709    3  -3   4
                58.81         11.66        1.5701   -1   5   0
                58.82          5.34        1.5699    1  -2   5
                58.84          2.46        1.5695   -3   1   4
                59.01          3.63        1.5654    1  -5   3
                59.06          9.51        1.5642    3  -5   1
                59.27          1.91        1.5592    0   3   3
                59.28          2.56        1.5589   -4  -2   2
                59.45          9.15        1.5549    5   0   0
                59.45          1.32        1.5548    3  -1   4
                59.70          1.90        1.5490   -5   3   0
                59.75          3.70        1.5477    3  -5   2
                59.77          3.09        1.5472    2  -5   3
                59.77          7.74        1.5471    1  -1   5
                59.81          2.40        1.5463    4   2   0
                59.98          9.22        1.5423    3   1   3
                60.03          4.19        1.5412    5  -3   1
                60.04          1.56        1.5408   -3  -2   4
                60.27          7.15        1.5355   -1  -4   4
                60.38          6.57        1.5331   -1   0   5
                60.42         40.67        1.5322   -4   4   1
                60.63         10.78        1.5272    0   0   5
                60.75          6.00        1.5246   -5   1   2
                60.80         16.02        1.5233   -2  -4   3
