      Spiroffite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R070744
      Cooper M A, Hawthorne F C
      The Canadian Mineralogist 34 (1996) 821-826
      The crystal structure of spiroffite

      CELL PARAMETERS:  12.8720  5.3793 11.8985   90.000   98.307   90.000
      SPACE GROUP: C2/c      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Te     0.50000   0.36091   0.25000     1.000     0.798
            Te     0.13776   0.18589   0.05780     1.000     0.764
            Mn     0.22883   0.19870   0.35050     1.000     0.795
            O      0.07540   0.07610   0.35320     1.000     1.340
            O      0.38460   0.38530   0.35830     1.000     0.995
            O      0.26130   0.01580   0.02890     1.000     0.890
            O      0.19610   0.36120   0.18720     1.000     1.133

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/- 11 +/-  4 +/- 10
            MAX. ABS. INTENSITY / VOLUME**2:      52.02402409    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                13.91          9.24        6.3685    2   0   0
                17.90         76.56        4.9555    1   1   0
                19.04         27.78        4.6621   -1   1   1
                19.83          9.07        4.4783    1   1   1
                21.99         58.05        4.0416    2   0   2
                24.12          3.59        3.6903    1   1   2
                26.97         94.81        3.3065   -3   1   1
                28.20          1.24        3.1644   -1   1   3
                28.65          3.11        3.1154    3   1   1
                29.26          5.01        3.0524   -3   1   2
                29.82        100.00        2.9957    1   1   3
                29.91         33.47        2.9872   -4   0   2
                31.59         41.09        2.8322   -2   0   4
                32.33         18.49        2.7687    3   1   2
                33.24          2.66        2.6956   -3   1   3
                33.31         12.10        2.6897    0   2   0
                33.89         13.78        2.6454    4   0   2
                34.56         12.78        2.5955   -1   1   4
                35.40          1.00        2.5360    2   0   4
                36.26          2.05        2.4777    2   2   0
                36.37          3.04        2.4704    1   1   4
                36.64         23.99        2.4526   -2   2   1
                37.33          1.87        2.4091    3   1   3
                38.44          2.98        2.3419   -3   1   4
                38.63          4.47        2.3310   -2   2   2
                38.86         11.63        2.3172   -5   1   1
                40.15         10.72        2.2459   -5   1   2
                40.28          1.87        2.2391    2   2   2
                40.67         24.25        2.2186    0   2   3
                40.91         20.52        2.2059    5   1   1
                42.02          2.03        2.1504   -2   2   3
                42.59          1.20        2.1228    6   0   0
                43.16          8.43        2.0959   -6   0   2
                43.26          1.58        2.0916    3   1   4
                44.02          1.42        2.0569   -4   2   1
                44.07          1.35        2.0547    4   2   0
                44.32          9.99        2.0439    2   2   3
                44.52          8.37        2.0350   -3   1   5
                44.85          1.76        2.0208    4   0   4
                45.37          5.89        1.9988   -4   2   2
                45.51          4.65        1.9929    4   2   1
                46.57         14.30        1.9503   -2   2   4
                47.59          3.16        1.9108    6   0   2
                48.25          6.50        1.8860    4   2   2
                49.89         10.77        1.8279    3   1   5
                50.62         11.13        1.8034    2   0   6
                51.01          4.09        1.7903    1   1   6
                51.47          8.84        1.7756    1   3   0
                51.78         11.14        1.7655   -5   1   5
                51.84          3.54        1.7638   -4   2   4
