      Pseudowollastonite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R070762 
      Yang H, Prewitt C T
      American Mineralogist 84 (1999) 929-932
      On the crystal structure of pseudowollastonite (CaSiO3)

      CELL PARAMETERS:   6.8340 11.8700 19.6190   90.000   90.550   90.000
      SPACE GROUP: C2/c      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Ca     0.00000   0.00000   0.00000     1.000     0.700
            Ca     0.00000   0.34259   0.25000     1.000     0.600
            Ca     0.00000   0.32910   0.75000     1.000     0.691
            Ca     0.00000   0.00462   0.75000     1.000     0.552
            Ca     0.01127   0.33571   0.00047     1.000     0.567
            Si     0.29298   0.03898   0.37507     1.000     0.397
            Si     0.09283   0.17035   0.12790     1.000     0.403
            Si     0.29798   0.29716   0.37784     1.000     0.404
            O      0.34734   0.34508   0.45190     1.000     0.780
            O      0.15484   0.48810   0.19713     1.000     0.843
            O      0.19052   0.17222   0.20205     1.000     0.789
            O      0.05651   0.28096   0.37492     1.000     0.684
            O      0.20071   0.17028   0.05692     1.000     0.933
            O      0.05217   0.05793   0.37380     1.000     0.700
            O      0.35429   0.35084   0.30682     1.000     0.921
            O      0.15804   0.48546   0.05278     1.000     0.842
            O      0.38933   0.16744   0.37627     1.000     0.706

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  6 +/- 10 +/- 18
            MAX. ABS. INTENSITY / VOLUME**2:      5.630268383    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                14.93          7.83        5.9350    0   2   0
                14.96          3.37        5.9223    1   1   0
                15.59         34.32        5.6827   -1   1   1
                15.60         16.95        5.6807    0   2   1
                15.67          2.22        5.6566    1   1   1
                17.43         10.93        5.0887   -1   1   2
                17.56          8.61        5.0514    1   1   2
                18.09          1.42        4.9045    0   0   4
                20.14          2.16        4.4080   -1   1   3
                20.21         14.69        4.3948    0   2   3
                20.31         26.90        4.3716    1   1   3
                23.45          2.24        3.7929   -1   1   4
                23.53          9.87        3.7807    0   2   4
                23.65          2.17        3.7620    1   1   4
                26.02         43.38        3.4241    1   3   0
                26.08         20.92        3.4168    2   0   0
                27.16         20.93        3.2835   -1   1   5
                27.25         10.18        3.2730    0   2   5
                27.37          1.27        3.2585    1   1   5
                27.55         83.42        3.2377   -1   3   2
                27.56         40.15        3.2364   -2   0   2
                27.63         89.52        3.2280    1   3   2
                27.73         45.90        3.2171    2   0   2
                31.14          3.74        2.8725   -1   1   6
                31.36          2.13        2.8524    1   1   6
                31.49          1.12        2.8414   -2   2   2
                31.63          1.38        2.8283    2   2   2
                31.77         36.89        2.8163   -2   0   4
                31.80         74.02        2.8139   -1   3   4
                31.95         76.25        2.8013    1   3   4
                32.07         38.84        2.7910    2   0   4
                33.11          7.85        2.7060   -2   2   3
                33.15          5.16        2.7023    0   4   3
                35.35          2.69        2.5389    0   4   4
