      Imiterite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from single crystal data of R080014
      Guillou J J, Monthel J, Picot P, Pillard F, Protas J, Samama J C
      Bulletin de Mineralogie 108 (1985) 457-464
      L'imiterite, Ag2HgS2 nouvelle espece minerale; proprietes et structure cristalline
      Locality: Tinerhir, Boulmane, Morocco
      _database_code_amcsd 0012085

      CELL PARAMETERS:   4.0400  8.0060  6.5800   90.000  107.130   90.000
      SPACE GROUP: P2_1/c    

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Ag     0.62970   0.15110   0.40810     1.000     2.400
            Hg     0.00000   0.00000   0.00000     1.000     1.470
            S      0.20140   0.37050   0.23380     1.000     1.110

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  3 +/-  7 +/-  5
            MAX. ABS. INTENSITY / VOLUME**2:      129.2744494    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                17.94         22.98        4.9451    0   1   1
                22.21         15.19        4.0030    0   2   0
                23.04          4.10        3.8608    1   0   0
                25.62          9.81        3.4775    1   1   0
                25.78         42.71        3.4562   -1   1   1
                26.39          2.71        3.3768    0   2   1
                28.39         26.52        3.1441    0   0   2
                30.55         21.01        2.9265    0   1   2
                30.94         33.25        2.8901   -1   0   2
                32.21         46.91        2.7789    1   2   0
                32.34         35.97        2.7680   -1   2   1
                32.56        100.00        2.7498    1   1   1
                32.95         32.53        2.7184   -1   1   2
                36.33         16.81        2.4726    0   2   2
                36.58         76.42        2.4566    0   3   1
                38.42         13.95        2.3432   -1   2   2
                41.22         16.88        2.1899   -1   3   1
                44.14          6.20        2.0519   -1   1   3
                44.69         15.74        2.0277    0   1   3
                46.31          2.38        1.9606   -1   3   2
                46.36         16.21        1.9585   -2   1   1
                47.08          2.28        1.9304    2   0   0
                48.08         16.03        1.8926    1   2   2
                48.51          8.25        1.8766    2   1   0
                48.54          2.62        1.8754   -1   2   3
                49.06         13.49        1.8569    0   2   3
                50.62          8.45        1.8033   -2   2   1
                51.42         15.58        1.7769    1   4   0
                51.51          2.74        1.7740   -1   4   1
                52.64          7.27        1.7388    2   2   0
                52.99         11.00        1.7281   -2   2   2
                54.34          5.91        1.6884    0   4   2
                54.92          4.29        1.6718    2   1   1
                55.30         13.78        1.6613   -1   3   3
                55.60         14.91        1.6530   -2   1   3
                55.77          3.37        1.6484    0   3   3
                55.88          2.94        1.6454   -1   4   2
                56.31         10.30        1.6337   -1   0   4
                57.00          7.13        1.6156    1   1   3
                57.20          1.59        1.6105   -2   3   1
                58.73          1.50        1.5722    2   2   1
                59.38          1.10        1.5565   -2   2   3
                59.58          4.36        1.5517    0   5   1
                59.97          1.95        1.5426    0   1   4
                60.73          1.24        1.5252    1   2   3
                61.28          1.93        1.5126   -1   2   4
                62.91          5.17        1.4774   -1   5   1
                63.54         12.23        1.4643    1   4   2
                63.55          7.48        1.4640    2   0   2
                63.59          5.00        1.4632    0   2   4
                64.36          1.23        1.4475    0   4   3
                64.76          5.53        1.4395    2   3   1
                65.41          2.10        1.4268    0   5   2
                66.56          2.22        1.4049    1   5   1
                66.65          1.26        1.4032    1   3   3
                66.79          3.64        1.4006   -1   5   2
                67.40          4.82        1.3895    2   4   0
                67.70          5.61        1.3840   -2   4   2
                68.21          1.43        1.3749    2   2   2
                69.11          3.94        1.3592   -2   2   4
                70.42          5.06        1.3371   -3   0   2
                70.59          4.03        1.3343    0   6   0
                71.10          1.53        1.3259    1   0   4
                72.22          1.87        1.3081    1   1   4
                73.60          2.21        1.2869    3   0   0
                74.18          1.27        1.2783   -1   5   3
                74.58          1.81        1.2724    0   5   3
                74.87          1.05        1.2682   -3   2   2
                75.54          1.97        1.2587    1   2   4
                75.82          2.35        1.2548   -2   5   1
                76.71          3.59        1.2424    0   1   5
                77.16          2.55        1.2363    0   4   4
                77.44          1.89        1.2324    2   5   0
                77.75          2.73        1.2283    0   6   2
                77.99          1.10        1.2252    3   2   0
                78.50          1.97        1.2184   -2   1   5
                79.04          2.72        1.2115   -1   6   2
                80.10          4.44        1.1980   -3   3   1
                81.60          5.67        1.1798   -1   3   5
                82.30          4.67        1.1716   -2   4   4
                82.55          1.07        1.1686    2   5   1
                83.11          1.34        1.1621   -2   5   3
                84.01          3.60        1.1521   -3   3   3
                84.29          1.87        1.1489    1   5   3
                84.75          1.47        1.1439    3   2   1
                85.80          1.34        1.1325   -3   2   4
                85.96          5.17        1.1308    2   3   3
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
