      Vuonnemite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from single crystal data of R080015
      Ercit T S, Cooper M A, Hawthorne F C
      The Canadian Mineralogist 36 (1998) 1311-1320
      The crystal structure of vuonnemite, Na11TiNb2(Si2O7)2(PO4)2O3(F,OH),
      a phosphate-bearing sorosilicate of the lomonosovite group
      Locality: Lovozero, Kola Peninsula, Russia
      _database_code_amcsd 0005582

      CELL PARAMETERS:   5.4760  7.1410 14.4000   92.570   95.310   90.590
      SPACE GROUP: P-1       

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Si     0.18446   0.21937   0.69737     1.000     0.622
            Si     0.19918   0.79300   0.68471     1.000     0.602
            P      0.31393   0.25693   0.06612     1.000     0.757
            Nb     0.30111   0.49199   0.28413     1.000     0.618
            Ti     0.97299   0.00048   0.50810     1.000     0.599
            Na     0.18370   0.98220   0.89983     1.000     1.688
            Na     0.19360   0.50820   0.86520     1.000     1.807
            Na     0.49450   0.24180   0.50112     1.000     1.603
            Na     0.70600   0.99180   0.73624     1.000     1.597
            Na     0.25070   0.73680   0.08094     1.000     1.809
            Na     0.00000   0.50000   0.50000     1.000     1.598
            O      0.43550   0.32400   0.74295     1.000     1.104
            O      0.20340   0.00480   0.73487     1.000     0.966
            O      0.16240   0.80120   0.57348     1.000     0.946
            O      0.46150   0.70950   0.71855     1.000     1.152
            O      0.05260   0.69620   0.25513     1.000     0.964
            O      0.32420   0.51660   0.40636     1.000     1.266
            O      0.25520   0.43070   0.13009     1.000     0.990
            O      0.23700   0.07300   0.10740     1.000     1.361
            O      0.16100   0.20930   0.58525     1.000     0.908
            O      0.41130   0.74150   0.94321     1.000     1.420
            O      0.17290   0.27520   0.97009     1.000     1.574
            O      0.01760   0.31740   0.27290     1.000     1.257
            O      0.26990   0.00260   0.42335     1.000     1.255

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  5 +/-  6 +/- 13
            MAX. ABS. INTENSITY / VOLUME**2:      9.427655567    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                 6.17        100.00       14.3230    0   0   1
