      Eveite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R100048
      Yang Y W, Stevenson R A, Siegel A M, Downs G W
      Acta Crystallographica E67 (2011) i68-i68
      Redetermination of eveite, Mn2AsO4(OH), based on single-crystal X-ray diffraction data
      Locality: Langban, Filipstad, Varmland, Sweden
      _database_code_amcsd 0018489

      CELL PARAMETERS:   8.5480  8.7210  6.2960   90.000   90.000   90.000
      SPACE GROUP: Pnnm      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Mn     0.00000   0.00000   0.24719     1.000     0.831
            Mn     0.35839   0.13367   0.50000     1.000     0.854
            As     0.24335   0.25667   0.00000     1.000     0.580
            O      0.38740   0.37260   0.50000     1.000     0.797
            O      0.41440   0.35450   0.00000     1.000     0.908
            O      0.10330   0.39220   0.00000     1.000     1.350
            O      0.22306   0.14338   0.21630     1.000     1.034
            H      0.28700   0.39400   0.50000     1.000     3.158

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  7 +/-  8 +/-  5
            MAX. ABS. INTENSITY / VOLUME**2:      20.25585333    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                14.51         58.84        6.1046    1   1   0
                17.37         41.01        5.1047    0   1   1
                17.49         55.46        5.0693    1   0   1
                20.26         77.98        4.3827    1   1   1
                20.37          8.08        4.3605    0   2   0
                20.78         16.21        4.2740    2   0   0
                22.90         14.57        3.8843    1   2   0
                23.18         15.32        3.8379    2   1   0
                28.35         27.32        3.1480    0   0   2
                29.26        100.00        3.0523    2   2   0
                31.99         44.88        2.7979    1   1   2
                32.53         14.96        2.7522    1   3   0
                32.60         10.62        2.7466    2   2   1
                33.07         21.43        2.7084    3   1   0
                33.97         11.90        2.6393    0   3   1
                34.55         18.80        2.5959    3   0   1
                35.16         53.96        2.5524    0   2   2
                35.41         31.47        2.5347    2   0   2
                35.60         53.66        2.5218    1   3   1
                36.10         43.26        2.4880    3   1   1
                36.75          2.43        2.4457    1   2   2
                36.93         16.17        2.4340    2   1   2
                37.41          3.42        2.4037    2   3   0
                37.71          3.73        2.3852    3   2   0
                42.29          4.30        2.1370    4   0   0
                43.69          4.55        2.0720    1   3   2
                44.40          6.06        2.0404    0   1   3
                44.45          2.72        2.0381    1   0   3
                44.53          1.50        2.0349    3   3   0
                45.28          4.89        2.0029    1   4   1
                45.71          3.72        1.9847    1   1   3
                46.04          4.16        1.9712    4   1   1
                46.93         12.48        1.9362    3   3   1
                47.60          4.76        1.9104    2   3   2
                49.09          1.12        1.8559    2   4   1
                49.67          1.18        1.8356    4   2   1
                50.95          2.10        1.7924    0   4   2
                51.70          5.72        1.7681    4   0   2
                52.95          1.68        1.7293    2   2   3
                53.63          4.06        1.7090    1   5   0
                53.63         16.76        1.7089    3   3   2
                53.88          4.38        1.7016    0   3   3
                54.29          3.30        1.6898    3   0   3
                54.71          3.69        1.6777    5   1   0
                55.00          4.06        1.6695    3   4   1
                55.03         16.96        1.6688    1   3   3
                55.31          1.86        1.6608    4   3   1
                55.38          8.28        1.6589    3   1   3
                55.60         33.51        1.6529    2   4   2
                55.73         16.21        1.6493    1   5   1
                56.13         20.79        1.6385    4   2   2
                56.79         21.53        1.6211    5   1   1
                57.03          2.59        1.6149    2   5   0
                57.94          1.00        1.5916    5   2   0
                58.37          1.04        1.5809    2   3   3
                58.65         17.95        1.5740    0   0   4
                60.68         19.02        1.5261    4   4   0
                60.77          1.60        1.5242    1   1   4
                61.37          1.00        1.5106    4   3   2
                61.77          1.25        1.5019    1   5   2
                62.37          1.49        1.4889    1   4   3
                62.76          3.54        1.4805    5   1   2
                63.70          5.59        1.4609    3   3   3
                63.93          1.31        1.4563    2   1   4
                64.35          3.10        1.4477    3   5   1
                64.90          5.01        1.4369    2   5   2
                65.00          1.53        1.4349    5   3   1
                65.10          1.44        1.4329    1   6   0
                65.74          4.10        1.4204    5   2   2
                66.50          2.01        1.4060    6   1   0
                66.88         14.16        1.3989    2   2   4
                68.14          4.72        1.3761    2   6   0
                68.30          9.40        1.3733    4   4   2
                68.70          2.87        1.3663    1   3   4
                69.01          4.07        1.3609    3   1   4
                69.40          5.81        1.3542    6   2   0
                69.94          3.65        1.3450    3   5   2
                71.15          9.87        1.3252    1   5   3
                71.40          1.12        1.3212    4   5   1
                71.49          4.78        1.3196    0   6   2
                72.07          7.96        1.3104    5   1   3
                72.88          3.75        1.2979    6   0   2
                74.93          1.25        1.2673    4   0   4
                77.38          2.31        1.2332    1   1   5
                78.87          2.60        1.2136    3   5   3
                79.17          1.73        1.2099    1   7   1
                79.47          1.09        1.2060    5   3   3
                80.95          2.69        1.1876    7   1   1
                83.50          1.63        1.1578    1   5   4
                84.38          1.60        1.1479    1   7   2
                84.38          1.32        1.1479    5   1   4
                84.64          3.15        1.1450    1   3   5
                84.93          3.81        1.1418    3   1   5
                85.26          1.25        1.1383    5   5   2
                86.14          1.90        1.1289    7   1   2
                86.31          1.26        1.1272    2   5   4
                86.43          2.15        1.1258    7   3   0
                86.69          2.41        1.1232    3   7   1
                86.72          7.96        1.1228    4   6   2
                87.46          6.99        1.1153    6   4   2
                88.15          1.81        1.1083    7   3   1
                89.43         11.10        1.0957    4   4   4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
