      Krupkaite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R100098
      Topa D, Makovicky E, Balic-Zunic T
      The Canadian Mineralogist 40 (2002) 1147-1159
      The structural role of excess Cu and Pb in gladite and krupkaite
      based on new refinements of their structure
      Sample: bd50
      _database_code_amcsd 0005783

      CELL PARAMETERS:   4.0190 11.2360 11.5700   90.000   90.000   90.000
      SPACE GROUP: Pmc2_1    

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Bi     0.00000   0.92106   0.42767     1.000     2.550
            Bi     0.50000   0.56344   0.39079     1.000     2.606
            Bi     0.50000   0.21048   0.56429     1.000     2.779
            Pb     0.00000   0.25070   0.23570     1.000     3.008
            Cu     0.00000   0.46120   0.63860     1.000     3.079
            S      0.50000   0.80210   0.53040     1.000     2.448
            S      0.50000   0.11040   0.36290     1.000     2.369
            S      0.50000   0.44470   0.19200     1.000     2.606
            S      0.00000   0.69010   0.28820     1.000     2.290
            S      0.00000   0.37510   0.45630     1.000     2.527
            S      0.00000   0.05310   0.62410     1.000     2.211

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  3 +/- 10 +/- 10
            MAX. ABS. INTENSITY / VOLUME**2:      78.11174614    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                 7.87          1.91       11.2360    0   1   0
                10.98          2.88        8.0605    0   1   1
                15.32         12.37        5.7850    0   0   2
                15.77          1.76        5.6180    0   2   0
                17.24         19.10        5.1433    0   1   2
                22.06         52.04        4.0303    0   2   2
                22.12          1.13        4.0190    1   0   0
                23.51         24.63        3.7842    1   1   0
                23.76         11.34        3.7453    0   3   0
                24.40        100.00        3.6478    0   1   3
                24.75         52.48        3.5967    1   1   1
                24.99         84.76        3.5633    0   3   1
                27.01         21.07        3.3006    1   0   2
                28.06         11.57        3.1796    0   2   3
                28.18         63.03        3.1668    1   1   2
                28.37         89.60        3.1456    1   2   1
                28.39          6.00        3.1439    0   3   2
                30.91          4.59        2.8925    0   0   4
                31.43         90.66        2.8458    1   2   2
                31.86          4.62        2.8090    0   4   0
                31.95          2.78        2.8012    0   1   4
                32.68         17.18        2.7400    1   3   0
                32.81          4.29        2.7297    0   4   1
                33.35          2.51        2.6868    0   3   3
                33.61         38.95        2.6662    1   3   1
                34.89         47.57        2.5717    0   2   4
                35.53         16.30        2.5269    0   4   2
                36.02         21.00        2.4936    1   2   3
