      Paralaurionite
      Diffraction data computed using the structure from the paper listed below, 
      along with the cell parameters refined from single crystal data of R100178
      Merlino S, Pasero M, Perchialli N
      Mineralogical Magazine 57 (1993) 323-328
      Crystal structure of paralaurionite and its OD relationships with laurionite
      _database_code_amcsd 0014500

      CELL PARAMETERS:  10.8620  3.9920  7.1910   90.000  117.230   90.000
      SPACE GROUP: C2/m      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Pb     0.17190   0.00000   0.24080     1.000     0.810
            Cl     0.43320   0.00000   0.19100     1.000     1.700
            O      0.19800   0.00000   0.59100     1.000     1.200
            H      0.10800   0.00000   0.59000     1.000     1.000

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  8 +/-  3 +/-  5
            MAX. ABS. INTENSITY / VOLUME**2:      117.1853474    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                17.22         98.63        5.1500   -2   0   1
                18.37         39.16        4.8291    2   0   0
                24.12         18.94        3.6893    1   1   0
                25.42         17.80        3.5040   -2   0   2
                25.68        100.00        3.4687   -1   1   1
                27.78         21.34        3.2112    2   0   1
                27.91         67.93        3.1970    0   0   2
                30.00         88.06        2.9781    1   1   1
                33.12         42.90        2.7046   -4   0   1
                35.83         73.74        2.5060    3   1   0
                36.86         61.28        2.4386   -3   1   2
                37.24          3.95        2.4146    4   0   0
                37.53         17.91        2.3966   -2   0   3
                40.33          3.16        2.2361    2   0   2
                40.43         13.34        2.2308    1   1   2
                41.77         24.55        2.1625   -4   0   3
                42.41          1.67        2.1314    0   0   3
                44.96          2.28        2.0162   -3   1   3
                45.26         25.48        2.0034   -1   1   3
                45.44         22.58        1.9960    0   2   0
                45.85         14.19        1.9793    4   0   1
                48.19         11.08        1.8884   -5   1   2
                48.25         10.10        1.8860   -5   1   1
                48.94         13.39        1.8611   -2   2   1
                49.41          6.00        1.8446    2   2   0
                50.48          7.96        1.8079   -6   0   2
                51.33          3.06        1.7798   -2   0   4
                52.45          5.67        1.7444   -5   1   3
                52.64         11.23        1.7388    5   1   0
                52.78          5.12        1.7344   -2   2   2
                53.26         18.24        1.7199    1   1   3
                53.93         15.71        1.7001    3   1   2
                54.10          7.60        1.6952    2   2   1
                54.17         19.84        1.6931    0   2   2
                54.43          5.68        1.6857    2   0   3
                56.16         17.75        1.6379   -3   1   4
                57.23          5.71        1.6097    6   0   0
                57.37         16.17        1.6060   -4   2   1
                57.39          3.04        1.6056    4   0   2
                57.67          6.29        1.5985    0   0   4
                60.08          6.28        1.5400   -6   0   4
                60.15          1.83        1.5384    4   2   0
                60.35          7.95        1.5337   -2   2   3
                60.40          5.01        1.5326   -5   1   4
                60.68          5.41        1.5262    5   1   1
                62.36          1.78        1.4891    2   2   2
                63.42         12.71        1.4667   -4   2   3
                65.07          4.27        1.4335   -4   0   5
                65.84         12.46        1.4185   -7   1   3
                66.53          2.18        1.4056   -2   0   5
                66.53          8.56        1.4054    4   2   1
                66.72          9.96        1.4020   -7   1   1
                67.85          3.53        1.3813    1   1   4
                69.51          2.82        1.3523   -8   0   2
                69.63          1.84        1.3503   -3   1   5
                70.25          5.69        1.3400   -6   2   2
                70.95          2.36        1.3284   -2   2   4
                71.15          3.16        1.3251    4   0   3
                71.31          1.62        1.3225   -5   1   5
                71.67          2.90        1.3167    5   1   2
                72.27          5.17        1.3073   -1   3   1
                72.76          1.62        1.2997   -8   0   1
                73.54          4.37        1.2879    2   2   3
                73.56          2.52        1.2875   -8   0   4
                74.10          4.61        1.2795   -1   1   5
                74.38          5.45        1.2754    1   3   1
                75.94          4.69        1.2530    6   2   0
                76.08          2.34        1.2511    4   2   2
                76.32          5.21        1.2477    0   2   4
                77.64          6.39        1.2298    3   3   0
                77.67          2.24        1.2294    6   0   2
                78.26          5.89        1.2215   -3   3   2
                78.43          5.31        1.2193   -6   2   4
                79.01          5.96        1.2119   -7   1   5
                79.37          1.97        1.2073    8   0   0
                80.53          1.53        1.1927    1   3   2
                81.45          3.63        1.1816    7   1   1
                82.29          3.20        1.1717    3   1   4
                82.92          4.12        1.1643   -4   2   5
                83.85          3.71        1.1538   -1   3   3
                84.26          2.15        1.1492   -2   2   5
                84.39          2.64        1.1478    1   1   5
                85.35          3.26        1.1373    5   1   3
                85.99          1.91        1.1305   -5   3   2
                86.03          1.74        1.1300   -5   3   1
                87.04          1.47        1.1195   -8  -2   2
                87.36          1.73        1.1163    2   0   5
                88.58          3.36        1.1040    4   2   3
                89.17          1.21        1.0982    8   0   1
                89.27          1.19        1.0972   -5   3   3
                89.42          2.10        1.0958    5   3   0
                89.92          3.45        1.0910    1   3   3
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
