      Zigrasite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from single crystal data of R120143
      Hawthorne F C, Simmons W B
      Mineralogical Magazine 74 (2010) 567-575
      The crystal structure of zigrasite, MgZr(PO4)2(H2O)4,
      a heteropolyhedral framework structure
      Locality: Newry, Oxford County, Maine, USA
      _database_code_amcsd 0014605

      CELL PARAMETERS:   5.3070  9.3410  9.6380   97.330   91.500   90.500
      SPACE GROUP: P-1       

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Zr     0.25362   0.74773   0.49040     1.000     0.627
            P      0.26500   0.45008   0.68108     1.000     1.019
            P      0.23232   0.06111   0.32252     1.000     0.971
            Mg     0.00000   0.00000   0.00000     1.000     1.461
            Mg     0.50000   0.50000   0.00000     1.000     1.571
            O      0.31390   0.59030   0.61810     1.000     1.848
            O      0.24020   0.48460   0.83890     1.000     1.555
            O      0.48450   0.34580   0.64750     1.000     1.540
            O      0.02200   0.37650   0.61760     1.000     1.800
            O      0.00480   0.15460   0.36860     1.000     1.729
            O      0.25390   0.05570   0.16410     1.000     1.484
            O      0.47200   0.12730   0.39590     1.000     1.587
            O      0.19090  -0.09290   0.36000     1.000     1.579
            O      0.27100   0.87010   0.89350     1.000     1.950
            O      0.13770   0.16310   0.89470     1.000     2.448
            O      0.23050   0.39420   0.11490     1.000     2.171
            O      0.34670   0.68780   0.08190     1.000     2.471
            H      0.43600   0.91200   0.87700     1.000     6.632
            H      0.20300   0.81900   0.80500     1.000     6.632
            H      0.13500   0.26000   0.94700     1.000     6.632
            H      0.11200   0.15600   0.79300     1.000     6.632
            H      0.07500   0.44900   0.13300     1.000     6.632
            H      0.27300   0.36000   0.20500     1.000     6.632
            H      0.32000   0.76400   0.02200     1.000     6.632
            H      0.42000   0.71700   0.17600     1.000     6.632

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  4 +/-  8 +/-  8
            MAX. ABS. INTENSITY / VOLUME**2:      13.20435737    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                 9.25        100.00        9.5556    0   0   1
                18.57         17.03        4.7778    0   0   2
                19.18          3.62        4.6278   -1   1   0
                19.38         39.95        4.5795    1   1   0
                20.21         66.18        4.3945    0  -2   1
                20.99          2.72        4.2318    1  -1   1
                21.67         77.35        4.1014   -1   1   1
                22.24         42.02        3.9965    1   1   1
                25.01         44.30        3.5610    0  -2   2
                25.75          2.40        3.4598   -1  -1   2
                27.36         37.52        3.2598   -1   1   2
                28.14         48.82        3.1712    1   1   2
                28.36          1.22        3.1474    1   2   1
                28.50          3.71        3.1316    0   2   2
                31.57          1.51        2.8342    0   3   1
                32.00         16.90        2.7968    0  -2   3
                32.82          4.31        2.7285   -1  -1   3
                32.83          1.20        2.7283   -1   2   2
                33.40         14.35        2.6830   -1   3   0
                33.51         13.68        2.6741    1  -1   3
                33.76         14.78        2.6547    1   3   0
                33.79         16.28        2.6524    2   0   0
                33.81         14.49        2.6510    1  -3   1
                33.91         13.18        2.6436   -1  -3   1
                34.82          9.00        2.5763   -1   1   3
                34.85          3.32        2.5741   -2   0   1
                35.08          1.06        2.5582   -2   1   0
                35.37          2.02        2.5378    2   0   1
                36.21          7.05        2.4806    0   2   3
                36.79          1.44        2.4429    1  -3   2
                37.65          1.29        2.3889    0   0   4
                37.90          1.77        2.3740    0  -3   3
