      Vesignieite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R120149
      Ma Z, He R, Zhu X
      Acta Geologica Sinica 4 (1991) 145-151
      Redetermination of the crystal structure of vesignieite
      Locality: Chigou black shale system, Ankang county, Shaanxi Province, China
      Note: y- and z-coordinates of Ba altered
      _database_code_amcsd 0011973

      CELL PARAMETERS:  10.2390  5.9000  7.6860   90.000  116.260   90.000
      SPACE GROUP: C2/m      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Cu     0.50000   0.50000   0.00000     1.000     1.062
            Cu     0.25000   0.25000   0.00000     1.000     1.058
            Ba     0.00000   0.00000   0.50000     1.000     0.775
            V      0.08980   0.50000   0.26970     1.000     2.523
            O      0.48220   0.24110   0.19020     1.000     2.701
            O      0.22450   0.50000   0.19130     1.000     2.827
            O      0.33030   0.00000   0.49410     1.000     9.197
            O      0.20800   0.00000   0.12280     1.000    -0.581
            H      0.28900   0.00000   0.24700     1.000     1.610

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  8 +/-  5 +/-  6
            MAX. ABS. INTENSITY / VOLUME**2:      33.11385246    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                12.84         31.88        6.8928    0   0   1
                17.86         16.37        4.9674   -2   0   1
                17.87         30.51        4.9637    1   1   0
                19.33         10.70        4.5911    2   0   0
                19.38         21.46        4.5809   -1   1   1
                25.85         25.56        3.4464    0   0   2
                27.70         48.79        3.2199    2   0   1
                27.76        100.00        3.2138   -1   1   2
                30.25         32.92        2.9543   -3   1   1
                30.30         16.50        2.9500    0   2   0
                32.97         35.69        2.7169    3   1   0
                33.01         34.31        2.7139   -3   1   2
                33.03         35.02        2.7121    0   2   1
                35.07         36.33        2.5587    1   1   2
                35.10         17.83        2.5567   -2   0   3
                35.32          6.15        2.5409   -4   0   1
                35.39         11.95        2.5364   -2   2   1
                36.17         16.24        2.4837   -4   0   2
                36.19         32.10        2.4818    2   2   0
