      Norrishite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from single crystal data of R130089 
      Tyrna P L, Guggenheim S
      American Mineralogist 76 (1991) 266-271
      The crystal structure of norrishite, KLiMn2Si4O12: An oxygen-rich mica
      _database_code_amcsd 0001348

      CELL PARAMETERS:   5.2920  8.9010 10.0660   90.000   98.150   90.000
      SPACE GROUP: C2/m      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            K      0.00000   0.50000   0.00000     1.000     2.163
            Li     0.00000   0.00000   0.50000     1.000     1.259
            Mn     0.00000   0.34720   0.50000     1.000     0.753
            Si     0.06290   0.17070   0.22700     1.000     0.815
            O      0.04500   0.00000   0.16700     1.000     1.229
            O      0.29700   0.24860   0.16150     1.000     1.226
            O      0.10800   0.17870   0.38530     1.000     0.899
            O      0.10900   0.50000   0.39600     1.000     1.130

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  4 +/-  8 +/-  9
            MAX. ABS. INTENSITY / VOLUME**2:      16.37609701    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                 8.87        100.00        9.9643    0   0   1
                19.66          1.23        4.5147    1   1   0
                19.95         22.38        4.4505    0   2   0
                20.58         23.43        4.3152   -1   1   1
                21.87          8.57        4.0636    0   2   1
                24.95         56.51        3.5695   -1   1   2
                26.84         31.67        3.3214    0   0   3
                26.86         14.04        3.3191    0   2   2
                28.25         60.12        3.1589    1   1   2
                31.43          3.77        2.8466   -1   1   3
                33.67         15.37        2.6619    0   2   3
                34.23         26.78        2.6193    2   0   0
                34.75          5.31        2.5817    1   3   0
                35.30         26.49        2.5427   -1   3   1
                36.05          4.64        2.4911    0   0   4
                36.69         20.68        2.4493    2   0   1
                38.12         29.39        2.3606   -1   3   2
                39.11          4.71        2.3034   -1   1   4
                39.85          6.51        2.2619   -2   2   1
                40.46          5.69        2.2295    1   3   2
                40.73          1.67        2.2150   -2   0   3
                41.15          8.93        2.1938    2   0   2
                41.58         11.77        2.1718    0   4   1
                41.87          1.45        2.1576   -2   2   2
                42.11          6.76        2.1458    2   2   1
                42.84         16.92        2.1111   -1   3   3
                43.59          1.41        2.0764    1   1   4
                45.52          2.81        1.9929    0   0   5
                45.75          1.02        1.9830   -2   2   3
                46.01         10.33        1.9727    1   3   3
                46.62          4.84        1.9483   -2   0   4
                47.14          1.22        1.9281    2   0   3
                47.57          1.75        1.9115   -1   1   5
                49.01          1.87        1.8587   -1   3   4
                51.18          2.42        1.7847   -2   2   4
                52.40          1.04        1.7460    1   1   5
                52.95          2.64        1.7294   -3   1   1
                54.08          2.28        1.6959    2   4   0
                54.12          1.72        1.6945   -3   1   2
                54.30          9.00        1.6894    2   0   4
                55.32          1.45        1.6607    0   0   6
                55.36          4.50        1.6595    0   4   4
                55.82          3.65        1.6470    2   4   1
                56.31         16.28        1.6337   -1   3   5
                56.67          1.06        1.6242   -1   1   6
                56.86          2.31        1.6192   -1   5   2
                58.61          2.51        1.5750    1   5   2
                58.82          6.38        1.5699   -2   4   3
                59.43          3.88        1.5552    3   1   2
                60.45          1.20        1.5315   -1   5   3
                60.65          8.87        1.5268    1   3   5
                61.15         14.06        1.5156   -3   3   1
                61.24          2.22        1.5135   -3   1   4
                61.63          1.13        1.5049    3   3   0
                61.75          3.00        1.5022   -2   0   6
                61.84          1.76        1.5004    1   1   6
                62.22          4.36        1.4920   -3   3   2
                62.57          2.26        1.4846    0   4   5
                62.62          6.15        1.4835    0   6   0
                63.39          2.00        1.4673    0   6   1
                63.88          1.43        1.4572    2   4   3
                64.57          2.05        1.4433   -1   3   6
                65.58          1.32        1.4235    0   0   7
                66.24          1.64        1.4109    2   2   5
                69.31          1.19        1.3558    0   2   7
                69.39          7.40        1.3543    1   3   6
                70.70          4.03        1.3325   -2   0   7
                71.29          1.39        1.3229   -4   0   1
                71.90          1.45        1.3132   -4   0   2
                71.98          2.30        1.3118    3   3   3
                73.29          1.20        1.2917   -2   6   1
                73.34          6.57        1.2908    2   6   0
                73.94          1.93        1.2819   -4   0   3
                74.17          3.35        1.2784   -3   3   5
                74.30          3.08        1.2765   -2   2   7
                74.38          1.69        1.2753    4   0   1
                74.43          2.51        1.2746    0   6   4
                74.83          2.88        1.2689    2   6   1
                75.03          1.37        1.2659    2   2   6
                76.48          1.71        1.2455    0   0   8
                77.43          1.96        1.2326   -2   6   3
                77.48          1.12        1.2319   -4   2   3
                77.93          1.27        1.2260    4   2   1
                79.25          1.46        1.2088   -1   7   2
                80.02          2.36        1.1991    0   4   7
                80.75          2.26        1.1901    1   7   2
                81.94          1.01        1.1758    2   6   3
                87.51          2.91        1.1147    2   6   4
                88.23          2.12        1.1075   -4   0   6
                89.30          2.07        1.0969    4   0   4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
