      Manganoneptunite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from single crystal data of R130094
      Zolotarev A A, Krivovichev S V, Yakovenchuk V N
      Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 136 (2007) 118-123
      Refinement of the mangan-neptunite structure
      Locality: synthetic
      Note: changed signs of z-coordinates of O12 and O14, Ti1(y) to .32364
      _database_code_amcsd 0015717

      CELL PARAMETERS:  16.5110 12.5280 10.0330   90.000  115.507   90.000
      SPACE GROUP: Cc        

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Si     0.14640   0.40807   0.06260     1.000     0.482
            Si     0.85522   0.59502  -0.05950     1.000     0.513
            Si     0.52338   0.22472   0.08360     1.000     0.553
            Si     0.47738   0.77184  -0.08550     1.000     0.490
            Si     0.76903   0.47365   0.11050     1.000     0.513
            Si     0.22894   0.52406   0.89150     1.000     0.513
            Si     0.89388   0.15208   0.07900     1.000     0.545
            Si     0.10519   0.85221  -0.08340     1.000     0.505
            Ti     0.34233   0.32364   0.10313     1.000     0.490
            Ti     0.08716   0.05326   0.11462     1.000     0.505
            Fe     0.66082   0.68390  -0.09788     1.000     0.932
            Fe    -0.08942  -0.06065   0.88539     1.000     0.963
            Na     0.26540   0.19740   0.31270     1.000     1.658
            Na     0.73680   0.80120   0.69710     1.000     1.342
            K     -0.00131   0.42070   0.24970     1.000     1.848
            Li     0.50070   0.43490   0.24900     1.000     1.184
            O      0.95800   0.05300   0.07680     1.000     0.584
            O      0.05020  -0.04370  -0.07020     1.000     0.616
            O      0.45580   0.32290   0.07290     1.000     0.600
            O      0.54180   0.67040  -0.06580     1.000     0.711
            O      0.10860   0.16720   0.26060     1.000     0.750
            O      0.88780   0.82610   0.72900     1.000     0.979
            O      0.37050   0.42950   0.22270     1.000     0.829
            O      0.62160   0.54980   0.73830     1.000     0.908
            O      0.20520   0.07270   0.09920     1.000     0.687
            O      0.79010  -0.08010  -0.08940     1.000     0.687
            O      0.71160   0.36500   0.03860     1.000     0.766
            O      0.29000   0.63070  -0.05000     1.000     0.813
            O      0.21410   0.31040   0.08000     1.000     0.608
            O      0.79610   0.69720  -0.06490     1.000     0.679
            O      0.83190   0.49540   0.02360     1.000     0.742
            O      0.16720   0.51050  -0.01870     1.000     0.734
            O      0.15860   0.45130   0.22370     1.000     0.782
            O      0.83850   0.55130   0.77840     1.000     0.805
            O      0.39680   0.21140   0.25110     1.000     0.805
            O      0.60420   0.79440   0.74080     1.000     0.932
            O      0.46280   0.11580   0.02230     1.000     0.726
            O      0.54030   0.87910  -0.02660     1.000     0.687
            O      0.92520   0.26090   0.02250     1.000     0.726
            O      0.06840   0.74580  -0.03410     1.000     0.821

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/- 13 +/- 11 +/-  8
            MAX. ABS. INTENSITY / VOLUME**2:      7.324904096    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                 9.22        100.00        9.5894    1   1   0
                11.43         39.90        7.7410   -1   1   1
                15.21         12.73        5.8269    1   1   1
                18.38          4.48        4.8264   -2   2   1
                18.50          4.43        4.7947    2   2   0
                19.22          7.19        4.6179   -1   1   2
                19.61         29.94        4.5276    0   0   2
                22.11          3.04        4.0211    1   3   0
                22.98          4.28        3.8705   -2   2   2
                23.14         20.49        3.8445   -1   3   1
                23.27          1.24        3.8219    2   2   1
                23.50          2.00        3.7857   -4   0   2
                23.89          5.76        3.7254    4   0   0
                24.26          1.03        3.6694    0   2   2
