      Rodalquilarite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from single crystal data of R130549
      Feger C R, Kolis J W, Gorny K, Pennington C
      Journal of Solid State Chemistry 143 (1999) 254-259
      Rodalquilarite revisited: the hydrothermal synthesis and structural
      reinvestigation of H3Fe2(TeO3)4Cl
      Locality: synthetic
      _database_code_amcsd 0013969

      CELL PARAMETERS:   5.1125  6.6530  9.0100   73.368   78.048   76.638
      SPACE GROUP: P-1       

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            H      0.44340   0.44430   0.80800     1.000     7.106
            H      0.00000   0.50000   0.00000     1.000     7.106
            Fe     0.27610  -0.14520   0.55600     1.000     0.576
            Te     0.11979   0.34044   0.68799     1.000     0.592
            Te     0.33835   0.16583   0.16942     1.000     0.695
            O      0.19300   0.59240   0.53850     1.000     0.711
            O      0.36300   0.13710   0.58370     1.000     0.947
            O      0.40500   0.31640   0.80560     1.000     1.026
            O      0.54300   0.28570   0.26100     1.000     1.026
            O      0.11300   0.03790   0.35520     1.000     0.790
            O      0.09800   0.42710   0.12670     1.000     1.184
            Cl     0.00000   0.00000   0.00000     1.000     1.390

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  4 +/-  5 +/-  7
            MAX. ABS. INTENSITY / VOLUME**2:      41.27360334    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                10.37         25.17        8.5338    0   0   1
                14.13          6.47        6.2666    0   1   0
                18.04          1.67        4.9169    1   0   0
                19.56          3.33        4.5379    0  -1   1
                20.82         20.29        4.2669    0   0   2
                20.82         79.71        4.2668    1   1   0
                22.07          8.69        4.0272    0   1   2
                22.19          4.59        4.0064   -1   0   1
                24.66         29.37        3.6105    1   1   2
                24.98          4.14        3.5640   -1   1   0
                25.49         44.68        3.4948    1   0   2
                26.01          6.38        3.4253   -1  -1   1
                26.79         86.57        3.3278   -1   1   1
                27.43         11.61        3.2510    1  -1   1
                27.76         36.25        3.2132    0   2   1
                28.09         33.94        3.1763    0  -1   2
                28.49          9.95        3.1333    0   2   0
                29.24          5.70        3.0540    1   2   1
                29.72         34.08        3.0055   -1   0   2
                30.89          9.67        2.8950    0   2   2
                30.90          5.36        2.8937    1   2   0
                31.10         15.90        2.8754    0   1   3
                31.30         38.41        2.8574    1   2   2
                31.45          1.24        2.8446    0   0   3
                32.19          5.38        2.7806   -1   1   2
                32.82         30.29        2.7285    0  -2   1
                33.28          5.99        2.6922    1  -1   2
                33.90         27.84        2.6444   -1  -1   2
                33.94         23.59        2.6414    1   0   3
                35.58         10.22        2.5232    2   1   1
                36.47         20.35        2.4635    2   0   1
                36.52          5.75        2.4604    1   2   3
                36.55          2.34        2.4585    2   0   0
                36.74          1.63        2.4462    2   1   0
                36.98          7.08        2.4309   -1   2   1
                36.98          2.50        2.4308    0   2   3
                37.57         16.77        2.3940    2   1   2
                38.90          8.62        2.3152   -1   0   3
                39.51          7.38        2.2806    1  -2   1
                39.66          3.27        2.2727   -2   0   1
                39.73          2.43        2.2690    0  -2   2
                39.89          2.49        2.2597   -1   1   3
                40.82          1.86        2.2106   -2  -1   1
                41.14         12.93        2.1942    0   1   4
                41.21          3.89        2.1908    1   1   4
                41.21          3.28        2.1908    2   2   2
                41.25          5.02        2.1885    1  -1   3
                41.71          2.85        2.1654    1   3   1
                42.31          1.34        2.1361    1   3   2
                42.33          3.19        2.1351    2   1   3
                42.37         15.94        2.1334    2   2   0
                42.74          5.40        2.1157    2  -1   1
                43.02          9.04        2.1025   -1  -2   2
                43.19          1.88        2.0947    0   3   2
                43.62          2.77        2.0751    1   0   4
                43.87          8.29        2.0635    1   3   0
                43.93          8.25        2.0612    1   2   4
                45.59          2.35        1.9900    1   3   3
                45.92          4.87        1.9763   -1   2   3
                46.25          4.02        1.9629    2  -1   2
                46.91          1.66        1.9368   -2  -2   1
                47.09         11.03        1.9300    0   3   3
                47.19          2.63        1.9259   -2  -1   2
                48.13          3.68        1.8907   -2   1   2
                48.39         11.93        1.8810    0  -1   4
                48.50          6.26        1.8769   -1  -3   1
                49.05          1.04        1.8573   -1   0   4
                49.21          8.21        1.8515    2   1   4
                49.34          7.05        1.8470    2   3   2
                49.87          4.00        1.8286   -1   3   1
                50.51          5.03        1.8071   -1   3   0
                50.56          5.79        1.8053    2   2   4
                50.58          1.71        1.8046    1  -1   4
                51.27          3.79        1.7820   -2   2   0
                51.31          1.49        1.7807    1   1   5
                51.66          5.30        1.7695   -1   3   2
                51.88          2.71        1.7625    0   1   5
                51.98          6.75        1.7591    2  -1   3
                51.99          2.09        1.7589    2   3   0
                52.08          3.15        1.7560   -2   2   1
                52.16          7.47        1.7537    1  -2   3
                52.36          1.08        1.7474    2   0   4
                52.77          5.26        1.7348   -2   0   3
                52.83          3.31        1.7330    2  -2   1
                52.83          1.24        1.7329    1   2   5
                53.13          2.17        1.7239    0   3   4
                53.48          2.26        1.7134   -1   2   4
                53.50          4.42        1.7128    1  -3   1
                53.50          1.06        1.7127   -1  -1   4
                53.50          2.33        1.7126   -2  -2   2
                53.83          2.79        1.7030    3   1   1
                54.39          1.75        1.6867    0   2   5
                54.56         11.79        1.6821   -2   1   3
                55.14          1.25        1.6658   -1  -3   2
