      Wherryite
Diffraction data computed using the structure from the paper listed below,
along with the cell parameters refined from single crystal data of R141161
      Cooper M A, Hawthorne F C
      The Canadian Mineralogist 32 (1994) 373-380
      The crystal structure of wherryite, Pb7Cu2(SO4)4(SiO4)2(OH)2, a mixed
      sulfate-silicate with [M(TO4)2] chains
      Locality: Mammoth-St Anthony mine, Tiger, Pinal County, Arizona, USA
      _database_code_amcsd 0005365

      CELL PARAMETERS:  20.8020  5.7870  9.1400   90.000   91.200   90.000
      SPACE GROUP: C2/m      

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Pb     0.14340   0.00000   0.26320     1.000     2.128
            Pb     0.47390   0.00000   0.70610     1.000     2.105
            Pb     0.34190   0.00000   0.32120     1.000     2.423
            Pb     0.00000   0.00000   0.00000     1.000     2.505
            Cu     0.25000   0.25000   0.00000     1.000     1.787
            S      0.26680   0.00000   0.65750     1.000     1.654
            S      0.43180   0.50000   0.34750     1.000     1.629
            Si     0.39600   0.00000  -0.00890     1.000     2.022
            O      0.31920   0.00000   0.03000     1.000     2.149
            O      0.33560   0.00000   0.61500     1.000     2.749
            O      0.41730   0.21600  -0.11000     1.000     1.890
            O      0.22350   0.00000   0.53100     1.000     2.590
            O      0.38500   0.50000   0.22200     1.000     2.743
            O      0.43510   0.00000   0.14800     1.000     2.546
            O      0.25760   0.20600  -0.25100     1.000     2.441
            O      0.42360   0.29300   0.43800     1.000     3.556
            O      0.50360   0.50000  -0.28500     1.000     3.393
            O      0.30910   0.50000  -0.02900     1.000     2.006

            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/- 19 +/-  5 +/-  8
            MAX. ABS. INTENSITY / VOLUME**2:      112.2748905    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                 8.50          7.22       10.3987    2   0   0
                12.76          5.44        6.9366   -2   0   1
                15.90          3.34        5.5752    1   1   0
                18.60         53.76        4.7713   -1   1   1
                18.69          2.86        4.7475    1   1   1
                19.43         21.17        4.5690    0   0   2
                19.47         11.87        4.5603   -4   0   1
                21.07          1.38        4.2157   -2   0   2
                21.41          3.82        4.1511    2   0   2
                22.13          2.25        4.0167   -3   1   1
                25.13          2.50        3.5437   -1   1   2
                25.27         11.45        3.5242    1   1   2
                25.69          2.57        3.4683   -4   0   2
                25.70         10.49        3.4662    6   0   0
                26.23          9.07        3.3970    4   0   2
                26.39          3.04        3.3775    5   1   0
                27.72          1.85        3.2186    6   0   1
                27.82         17.16        3.2067   -3   1   2
                28.01         19.61        3.1857   -5   1   1
                28.20         14.63        3.1640    3   1   2
                28.33        100.00        3.1507    5   1   1
                29.32         31.47        3.0460    0   0   3
                30.41          1.17        2.9398   -2   0   3
                30.76          3.38        2.9068    2   0   3
                30.90         38.44        2.8935    0   2   0
                32.08          9.58        2.7898   -6   0   2
                32.11          5.24        2.7876    2   2   0
                32.46          1.71        2.7585    0   2   1
                32.70         48.77        2.7384   -5   1   2
                32.76          2.06        2.7341    6   0   2
                33.44          8.34        2.6794   -1   1   3
                33.56          5.28        2.6705   -2   2   1
                33.67          1.54        2.6621    2   2   1
                34.43          1.36        2.6045    4   0   3
                34.50          4.24        2.5997    8   0   0
                35.17          3.69        2.5517   -7   1   1
                35.51          1.41        2.5283    4   2   0
                35.51          1.82        2.5281   -3   1   3
                35.53          4.89        2.5265    7   1   1
                35.71          3.71        2.5144   -8   0   1
                35.97          4.02        2.4966    3   1   3
                36.77         15.94        2.4445    0   2   2
                38.95          3.53        2.3122   -6   0   3
                39.44          5.62        2.2845    0   0   4
                39.50          4.14        2.2814   -5   1   3
                39.80          4.04        2.2647    6   0   3
                40.20          9.39        2.2431    5   1   3
                40.62         23.44        2.2213    6   2   0
                40.97          6.41        2.2027    4   2   2
                42.11          2.15        2.1461    9   1   0
                42.69          5.79        2.1181   -1   1   4
                42.91          3.13        2.1078   -4   0   4
                43.12         14.40        2.0979    0   2   3
                43.52          2.57        2.0797   10   0   0
                44.16          7.03        2.0507    2   2   3
                44.34          2.82        2.0428   -3   1   4
                44.47          7.79        2.0371  -10   0   1
                44.86          1.24        2.0206    3   1   4
